backbone,intervention,cosine_stability,std
resnet50,grayscale,0.7883695363998413,0.09782808274030685
resnet50,cue_conflict,0.5456489324569702,0.14411234855651855
resnet50,translation,0.9524947553873062,0.02807395812124014
resnet50,patch_shuffle,0.7165690660476685,0.07433295994997025
vit_b16,grayscale,0.7393403053283691,0.12606531381607056
vit_b16,cue_conflict,0.5762269496917725,0.14818191528320312
vit_b16,translation,0.9743198156356812,0.025366825982928276
vit_b16,patch_shuffle,0.6530949473381042,0.11526314914226532
clip_vitb32,grayscale,0.8983365297317505,0.03968936577439308
clip_vitb32,cue_conflict,0.786189079284668,0.0724271684885025
clip_vitb32,translation,0.9679674208164215,0.017439953982830048
clip_vitb32,patch_shuffle,0.7282990217208862,0.0649448037147522
