unknown_class,run,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
bus,vanilla,2,16,0,0,0,0,0,0,0,59
pickup_truck,vanilla,0,69,0,0,0,0,0,0,0,22
motorcycle,vanilla,4,13,0,4,0,1,4,0,0,5
tractor,vanilla,0,1,0,0,0,0,0,1,5,52
wolf,vanilla,0,0,2,40,2,34,0,2,0,0
fox,vanilla,0,0,2,23,23,13,2,2,0,0
leopard,vanilla,0,0,4,22,9,4,22,0,0,0
camel,vanilla,2,0,8,3,12,14,1,17,0,0
bottle,vanilla,0,2,5,9,0,1,2,0,10,4
bowl,vanilla,1,7,3,10,0,4,8,0,7,1
chair,vanilla,24,1,4,2,0,0,2,1,0,6
clock,vanilla,2,7,4,11,0,3,1,0,5,5
keyboard,vanilla,10,2,3,5,1,1,6,2,1,9
mushroom,vanilla,4,0,26,4,3,3,12,1,0,0
sunflower,vanilla,1,0,23,3,0,5,4,0,0,0
wardrobe,vanilla,0,0,1,12,0,0,0,1,0,38
bus,gcsc,2,14,0,1,0,0,0,0,1,64
pickup_truck,gcsc,0,68,0,0,0,0,0,0,0,27
motorcycle,gcsc,3,15,1,3,0,0,1,0,0,12
tractor,gcsc,0,2,0,0,0,0,0,0,7,44
wolf,gcsc,0,0,1,38,5,35,1,2,0,0
fox,gcsc,1,0,1,32,16,9,0,3,0,0
leopard,gcsc,0,0,2,31,5,5,19,0,0,0
camel,gcsc,3,0,6,3,16,14,0,15,0,0
bottle,gcsc,1,1,1,10,0,0,0,0,11,2
bowl,gcsc,4,11,2,13,0,5,5,0,7,1
chair,gcsc,15,1,5,4,0,0,0,0,2,6
clock,gcsc,2,12,3,15,0,2,0,0,3,6
keyboard,gcsc,6,0,6,6,0,0,2,2,1,8
mushroom,gcsc,1,0,19,8,1,5,13,0,0,0
sunflower,gcsc,0,0,13,10,0,9,3,0,0,0
wardrobe,gcsc,0,0,0,10,0,0,0,0,0,44
bus,proser_cleanbn,3,12,0,0,0,0,0,0,1,62
pickup_truck,proser_cleanbn,0,63,0,0,0,0,0,0,0,26
motorcycle,proser_cleanbn,6,13,0,6,0,1,3,0,0,9
tractor,proser_cleanbn,0,2,0,0,0,0,0,0,7,57
wolf,proser_cleanbn,0,0,2,38,2,35,0,2,0,0
fox,proser_cleanbn,1,0,1,20,28,15,2,4,0,0
leopard,proser_cleanbn,0,0,4,23,6,6,19,0,0,0
camel,proser_cleanbn,2,0,8,3,11,15,1,18,0,0
bottle,proser_cleanbn,1,1,4,16,0,0,2,1,11,4
bowl,proser_cleanbn,2,6,3,10,0,4,5,0,8,2
chair,proser_cleanbn,22,1,7,5,0,0,2,1,0,3
clock,proser_cleanbn,2,6,4,12,0,4,0,0,15,5
keyboard,proser_cleanbn,14,2,6,5,0,1,4,3,1,8
mushroom,proser_cleanbn,4,0,20,6,4,4,8,3,0,0
sunflower,proser_cleanbn,3,0,20,7,0,9,5,0,0,0
wardrobe,proser_cleanbn,0,0,1,34,0,0,0,0,0,16
