unknown_class,group,vanilla:msp,vanilla:mls,vanilla:energy,vanilla:mahalanobis,gcsc:mls,proser_cleanbn:mls,proser_cleanbn:placeholder,proser:mls,proser:placeholder
bus,near,0.81,0.77,0.77,0.8,0.82,0.78,0.78,0.85,0.88
pickup_truck,near,0.88,0.91,0.91,0.87,0.95,0.89,0.86,0.82,0.89
motorcycle,near,0.41,0.31,0.3,0.32,0.35,0.38,0.43,0.44,0.37
tractor,near,0.68,0.59,0.57,0.67,0.53,0.66,0.7,0.71,0.77
wolf,near,0.8,0.8,0.81,0.84,0.82,0.79,0.79,0.76,0.83
fox,near,0.62,0.65,0.65,0.61,0.62,0.71,0.7,0.65,0.58
leopard,near,0.63,0.61,0.59,0.71,0.62,0.58,0.57,0.68,0.6
camel,near,0.67,0.57,0.6,0.7,0.57,0.58,0.63,0.5,0.52
bottle,far,0.54,0.33,0.31,0.46,0.26,0.4,0.45,0.39,0.44
bowl,far,0.58,0.41,0.4,0.38,0.48,0.4,0.43,0.46,0.42
chair,far,0.52,0.4,0.39,0.5,0.33,0.41,0.49,0.41,0.43
clock,far,0.47,0.38,0.36,0.37,0.43,0.48,0.52,0.43,0.47
keyboard,far,0.53,0.4,0.39,0.47,0.31,0.44,0.44,0.54,0.45
mushroom,far,0.58,0.53,0.53,0.58,0.47,0.49,0.55,0.57,0.53
sunflower,far,0.53,0.36,0.35,0.44,0.35,0.44,0.5,0.46,0.41
wardrobe,far,0.58,0.52,0.52,0.39,0.54,0.51,0.54,0.6,0.62
