condition,model,accuracy,delta_accuracy,macro_f1,mean_max_conf,consistency
test_clean,resnet50,0.978,0.0,0.9780357293461304,0.9438523650169373,1.0
test_clean,vit_b16,0.974,0.0,0.9739159548607923,0.9659504294395447,1.0
test_clean,clip_linear,0.984,0.0,0.9840160592639411,0.28014272451400757,1.0
test_clean,clip_zeroshot,0.98,0.0,0.9798839921143818,0.9547560811042786,1.0
test_gray,resnet50,0.958,-0.020000000000000018,0.9578372320654299,0.9395248889923096,0.966
test_gray,vit_b16,0.956,-0.018000000000000016,0.9559053905399058,0.9612540602684021,0.956
test_gray,clip_linear,0.96,-0.02400000000000002,0.9600978303493857,0.25979650020599365,0.97
test_gray,clip_zeroshot,0.97,-0.010000000000000009,0.9698000882357014,0.9379876852035522,0.972
test_hue90,resnet50,0.94,-0.038000000000000034,0.9399473131681745,0.9227625727653503,0.946
test_hue90,vit_b16,0.942,-0.03200000000000003,0.9419104701069883,0.9365173578262329,0.942
test_hue90,clip_linear,0.958,-0.026000000000000023,0.9578797010240958,0.2519507110118866,0.964
test_hue90,clip_zeroshot,0.95,-0.030000000000000027,0.9493672053414274,0.9269475340843201,0.958
