model,pair,direction,other,shape,texture,shape_bias_pct,coverage_pct
clip_linear,airplane-ship,airplane->ship,0,22,0,100.0,100.0
clip_linear,airplane-ship,ship->airplane,0,21,1,95.45454545454545,100.0
clip_linear,bird-monkey,bird->monkey,1,25,0,100.0,96.15384615384616
clip_linear,bird-monkey,monkey->bird,1,15,4,78.94736842105263,95.0
clip_linear,car-truck,car->truck,0,26,0,100.0,100.0
clip_linear,car-truck,truck->car,1,21,0,100.0,95.45454545454545
clip_linear,cat-dog,cat->dog,3,15,1,93.75,84.21052631578948
clip_linear,cat-dog,dog->cat,1,20,2,90.9090909090909,95.65217391304348
clip_linear,deer-horse,deer->horse,0,25,0,100.0,100.0
clip_linear,deer-horse,horse->deer,0,25,1,96.15384615384616,100.0
