model,shift,accuracy,consistency
clip_linear,0,0.984,1.0
clip_linear,8,0.982,0.991
clip_linear,16,0.98,0.987
clip_linear,32,0.975,0.986
clip_zeroshot,0,0.98,1.0
clip_zeroshot,8,0.978,0.9864999999999999
clip_zeroshot,16,0.977,0.983
clip_zeroshot,32,0.9664999999999999,0.9824999999999999
resnet50,0,0.978,1.0
resnet50,8,0.9764999999999999,0.9944999999999999
resnet50,16,0.97,0.9904999999999999
resnet50,32,0.9675,0.987
vit_b16,0,0.974,1.0
vit_b16,8,0.977,0.984
vit_b16,16,0.9735,0.9895
vit_b16,32,0.9644999999999999,0.9735
