epoch,step,train_cls_loss,train_domain_loss,train_disc_acc,train_alpha,train_feat_norm,train_loss,val_photo_acc,val_photo_f1,val_art_painting_acc,val_art_painting_f1,val_cartoon_acc,val_cartoon_f1,val_mean_accuracy,val_mean_macro_f1,val_worst_accuracy,val_worst_macro_f1,best,epoch_time_s
1,203,0.532311,0.604744,0.80234,0.082544,41.632642,1.137055,0.886228,0.862998,0.826829,0.829442,0.895522,0.898543,0.869526,0.863661,0.826829,0.829442,1,53.3
2,406,0.252113,0.619946,0.649938,0.244002,49.746407,0.872059,0.949102,0.940936,0.902439,0.900654,0.895522,0.902422,0.915688,0.91467,0.895522,0.900654,1,51.4
3,609,0.16723,0.736538,0.561371,0.393003,63.48894,0.903768,0.961078,0.954223,0.892683,0.895252,0.925373,0.933157,0.926378,0.927544,0.892683,0.895252,1,57.0
4,812,0.125669,0.679564,0.555521,0.523908,61.662395,0.805232,0.931138,0.921,0.843902,0.843977,0.91258,0.915427,0.895873,0.893468,0.843902,0.843977,0,57.3
5,1015,0.120948,0.694393,0.533149,0.634028,68.599367,0.815341,0.928144,0.911613,0.82439,0.817413,0.901919,0.900528,0.884818,0.876518,0.82439,0.817413,0,55.3
6,1218,0.118147,0.717353,0.494253,0.723325,65.69776,0.8355,0.97006,0.964728,0.895122,0.891947,0.944563,0.950547,0.936582,0.935741,0.895122,0.891947,1,54.9
7,1421,0.094332,0.701038,0.52032,0.793602,65.782417,0.795371,0.943114,0.932513,0.84878,0.833949,0.899787,0.904287,0.897227,0.89025,0.84878,0.833949,0,57.1
8,1624,0.113236,0.687764,0.54023,0.847617,62.526876,0.801,0.946108,0.937518,0.895122,0.889299,0.929638,0.933164,0.923622,0.919994,0.895122,0.889299,0,55.2
9,1827,0.081053,0.708457,0.513444,0.888383,79.75265,0.78951,0.946108,0.938354,0.885366,0.869166,0.923241,0.930059,0.918238,0.912526,0.885366,0.869166,0,53.9
10,2030,0.085452,0.707195,0.48204,0.918726,67.169544,0.792647,0.943114,0.931722,0.853659,0.861899,0.927505,0.932533,0.908093,0.908718,0.853659,0.861899,0,55.6
11,2233,0.07616,0.667243,0.637521,0.94108,90.062321,0.743403,0.98503,0.981667,0.890244,0.886963,0.944563,0.950468,0.939946,0.939699,0.890244,0.886963,1,55.3
12,2436,0.071463,0.722721,0.454331,0.957424,81.671761,0.794183,0.952096,0.944847,0.885366,0.884446,0.933902,0.937915,0.923788,0.922402,0.885366,0.884446,0,56.3
13,2639,0.064616,0.698814,0.519089,0.969306,99.072328,0.76343,0.95509,0.950749,0.892683,0.893864,0.908316,0.913814,0.918696,0.919476,0.892683,0.893864,0,55.3
14,2842,0.086594,0.694791,0.521039,0.97791,81.94547,0.781386,0.976048,0.972354,0.885366,0.881951,0.918977,0.924742,0.926797,0.926349,0.885366,0.881951,0,54.7
15,3045,0.063723,0.696894,0.549158,0.984121,81.701406,0.760618,0.937126,0.938398,0.868293,0.871881,0.936034,0.943023,0.913818,0.917767,0.868293,0.871881,0,53.5
16,3248,0.067077,0.70559,0.497332,0.988597,84.420848,0.772666,0.934132,0.922793,0.870732,0.866418,0.938166,0.942165,0.914343,0.910459,0.870732,0.866418,0,55.2
