epoch,step,progress,cls_loss,domain_loss,disc_acc,alpha,feat_norm,loss
1,10,0.00148,1.512289,0.687857,0.6875,0.007389,15.882475,2.200146
1,20,0.00312,0.866843,0.68254,0.9375,0.015598,37.515175,1.549384
1,30,0.00476,0.74099,0.66974,0.916667,0.023805,38.385777,1.41073
1,40,0.0064,0.758894,0.666142,0.875,0.032009,42.604134,1.425035
1,50,0.00805,0.504988,0.639877,0.9375,0.040208,39.491142,1.144865
1,60,0.00969,0.562527,0.638549,0.791667,0.048402,40.874886,1.201077
1,70,0.01133,0.269328,0.63829,0.770833,0.05659,46.037857,0.907618
1,80,0.01297,0.218824,0.606429,0.833333,0.06477,46.896454,0.825253
1,90,0.01461,0.280112,0.617357,0.75,0.072941,40.44796,0.897469
1,100,0.01626,0.291032,0.58849,0.833333,0.081102,39.49847,0.879521
1,110,0.0179,0.23931,0.576039,0.854167,0.089253,39.621124,0.815349
1,120,0.01954,0.158301,0.566966,0.833333,0.097391,41.142597,0.725267
1,130,0.02118,0.222647,0.554123,0.833333,0.105517,43.391228,0.77677
1,140,0.02282,0.146194,0.523485,0.916667,0.113629,38.191124,0.669679
1,150,0.02447,0.276416,0.553165,0.770833,0.121725,42.853638,0.829581
1,160,0.02611,0.099056,0.503595,0.791667,0.129805,47.52235,0.602651
1,170,0.02775,0.272675,0.548285,0.8125,0.137868,49.938534,0.82096
1,180,0.02939,0.303775,0.572592,0.854167,0.145913,47.163002,0.876367
1,190,0.03103,0.034342,0.531687,0.895833,0.153939,53.343826,0.566029
1,200,0.03268,0.191612,0.568991,0.875,0.161944,42.994621,0.760604
2,210,0.03432,0.283936,0.575043,0.770833,0.169928,42.007912,0.858979
2,220,0.03596,0.200988,0.62945,0.604167,0.17789,47.005615,0.830438
2,230,0.0376,0.3479,0.569038,0.791667,0.185829,40.982788,0.916938
2,240,0.03924,0.223241,0.545329,0.75,0.193743,44.169487,0.76857
2,250,0.04089,0.256491,0.67683,0.604167,0.201632,42.980614,0.933321
2,260,0.04253,0.244352,0.577045,0.708333,0.209496,46.301567,0.821397
2,270,0.04417,0.359231,0.662392,0.583333,0.217332,52.13258,1.021623
2,280,0.04581,0.253878,0.573085,0.729167,0.22514,40.885872,0.826963
2,290,0.04745,0.249608,0.556281,0.729167,0.232919,51.415825,0.80589
2,300,0.0491,0.12629,0.52981,0.75,0.240669,59.962677,0.6561
2,310,0.05074,0.139609,0.547603,0.729167,0.248388,52.650192,0.687211
2,320,0.05238,0.091172,0.547628,0.666667,0.256076,47.619335,0.6388
2,330,0.05402,0.333885,0.622717,0.520833,0.263732,50.058205,0.956602
2,340,0.05567,0.104789,0.804767,0.25,0.271354,49.930065,0.909556
2,350,0.05731,0.330996,0.725177,0.4375,0.278943,56.092133,1.056173
2,360,0.05895,0.309053,0.709683,0.479167,0.286497,61.107552,1.018736
