epoch,step,train_cls_loss,train_mmd,train_loss,val_photo_acc,val_photo_f1,val_art_painting_acc,val_art_painting_f1,val_cartoon_acc,val_cartoon_f1,val_mean_accuracy,val_mean_macro_f1,val_worst_accuracy,val_worst_macro_f1,best,epoch_time_s
1,203,0.571468,0.223283,0.794751,0.89521,0.878992,0.853659,0.851991,0.8742,0.886166,0.874356,0.872383,0.853659,0.851991,1,43.8
2,406,0.230807,0.181425,0.412232,0.967066,0.961296,0.919512,0.916791,0.918977,0.925891,0.935185,0.934659,0.918977,0.916791,1,43.8
3,609,0.172336,0.180461,0.352797,0.961078,0.955469,0.892683,0.888925,0.927505,0.931821,0.927089,0.925405,0.892683,0.888925,0,49.2
4,812,0.134916,0.176252,0.311168,0.961078,0.953528,0.919512,0.919487,0.953092,0.956552,0.944561,0.943189,0.919512,0.919487,1,46.3
5,1015,0.102417,0.17358,0.275997,0.967066,0.963318,0.929268,0.927478,0.938166,0.944206,0.944833,0.945001,0.929268,0.927478,1,47.5
6,1218,0.082246,0.168701,0.250947,0.952096,0.944601,0.909756,0.909915,0.93177,0.934799,0.931207,0.929772,0.909756,0.909915,0,49.2
7,1421,0.068896,0.167742,0.236638,0.967066,0.961359,0.904878,0.905585,0.953092,0.958304,0.941679,0.94175,0.904878,0.905585,0,47.7
8,1624,0.080789,0.172961,0.25375,0.97006,0.965759,0.92439,0.923805,0.936034,0.940167,0.943495,0.943244,0.92439,0.923805,0,46.6
9,1827,0.060619,0.163945,0.224563,0.958084,0.956106,0.902439,0.902921,0.929638,0.935759,0.930053,0.931596,0.902439,0.902921,0,47.0
10,2030,0.054533,0.168836,0.223369,0.973054,0.968311,0.880488,0.883784,0.927505,0.934445,0.927016,0.928847,0.880488,0.883784,0,47.6
