epoch,step,progress,cls_loss,mmd,feat_norm,loss
1,10,0.00148,1.418434,0.304744,20.721048,1.723178
1,20,0.00312,0.657942,0.255307,43.054623,0.913249
1,30,0.00476,0.582383,0.218471,42.07299,0.800854
1,40,0.0064,0.596908,0.202152,56.144974,0.799059
1,50,0.00805,0.460049,0.176792,47.481781,0.636841
1,60,0.00969,0.559854,0.189857,41.932541,0.749711
1,70,0.01133,0.167336,0.190935,48.835876,0.358271
1,80,0.01297,0.165386,0.345279,52.288528,0.510665
1,90,0.01461,0.437817,0.172625,43.651318,0.610442
1,100,0.01626,0.381168,0.19628,36.987991,0.577447
1,110,0.0179,0.38582,0.200347,38.104603,0.586167
1,120,0.01954,0.250045,0.17695,38.956669,0.426995
1,130,0.02118,0.219497,0.178352,41.699444,0.397849
1,140,0.02282,0.298794,0.273036,41.20388,0.571831
1,150,0.02447,0.23223,0.165312,46.438988,0.397542
1,160,0.02611,0.119722,0.207715,44.290428,0.327437
1,170,0.02775,0.189841,0.16994,47.319725,0.359781
1,180,0.02939,0.387939,0.187518,50.111248,0.575457
1,190,0.03103,0.060879,0.213046,56.187267,0.273925
1,200,0.03268,0.131139,0.168398,34.953342,0.299537
2,210,0.03432,0.170718,0.249564,54.381451,0.420282
2,220,0.03596,0.499883,0.189773,55.002335,0.689655
2,230,0.0376,0.131316,0.223829,35.840187,0.355145
2,240,0.03924,0.283398,0.164632,40.257458,0.44803
2,250,0.04089,0.363181,0.237935,48.143799,0.601117
2,260,0.04253,0.155992,0.176395,54.622772,0.332387
2,270,0.04417,0.187106,0.135857,52.974854,0.322963
2,280,0.04581,0.166666,0.19223,45.948608,0.358896
2,290,0.04745,0.140928,0.148327,53.001343,0.289256
2,300,0.0491,0.093798,0.166327,48.09565,0.260126
2,310,0.05074,0.007088,0.159268,53.729889,0.166356
2,320,0.05238,0.086364,0.132589,63.557915,0.218954
2,330,0.05402,0.274407,0.168953,51.474712,0.44336
2,340,0.05567,0.105666,0.211002,52.619682,0.316668
2,350,0.05731,0.245747,0.240594,54.423214,0.486342
2,360,0.05895,0.102189,0.175556,60.502758,0.277745
2,370,0.06059,0.09175,0.195031,53.564972,0.286781
2,380,0.06223,0.152248,0.212054,55.675732,0.364301
2,390,0.06388,0.052044,0.171388,63.302807,0.223432
2,400,0.06552,0.050707,0.145311,56.264977,0.196018
3,410,0.06716,0.275513,0.202622,37.931923,0.478135
3,420,0.0688,0.162353,0.117881,48.435436,0.280234
3,430,0.07044,0.17284,0.180648,59.921555,0.353487
3,440,0.07209,0.063679,0.156401,58.936626,0.22008
3,450,0.07373,0.12712,0.186493,46.006084,0.313613
3,460,0.07537,0.081421,0.140197,45.763435,0.221619
3,470,0.07701,0.147473,0.180461,53.778908,0.327934
3,480,0.07865,0.191652,0.195882,49.002045,0.387535
3,490,0.0803,0.094477,0.184129,55.049236,0.278606
3,500,0.08194,0.098941,0.242484,61.761425,0.341424
3,510,0.08358,0.36363,0.128101,46.663937,0.491732
3,520,0.08522,0.167056,0.151103,58.960766,0.318159
3,530,0.08686,0.094486,0.116709,55.607666,0.211196
3,540,0.08851,0.045062,0.198806,54.659447,0.243868
3,550,0.09015,0.095846,0.20071,61.59539,0.296556
3,560,0.09179,0.047441,0.306277,50.762703,0.353718
3,570,0.09343,0.261737,0.174162,54.077019,0.4359
3,580,0.09507,0.1194,0.192456,50.490776,0.311855
3,590,0.09672,0.156578,0.171041,46.637722,0.327619
3,600,0.09836,0.184606,0.258105,50.049622,0.442711
4,610,0.1,0.071257,0.255964,52.456955,0.327221
4,620,0.10164,0.175807,0.201796,45.020569,0.377603
4,630,0.10328,0.212456,0.215367,47.584686,0.427823
4,640,0.10493,0.194968,0.123216,50.653748,0.318184
4,650,0.10657,0.086005,0.129772,41.770035,0.215777
4,660,0.10821,0.087119,0.122012,47.485271,0.209132
4,670,0.10985,0.019382,0.115491,51.807037,0.134872
4,680,0.11149,0.252783,0.129327,54.700287,0.38211
4,690,0.11314,0.097881,0.211726,54.50383,0.309607
4,700,0.11478,0.011744,0.168341,54.79707,0.180085
4,710,0.11642,0.138063,0.133502,47.875,0.271565
4,720,0.11806,0.170605,0.338063,48.33007,0.508668
4,730,0.1197,0.003053,0.146911,58.26857,0.149964
4,740,0.12135,0.154721,0.270741,53.512024,0.425462
4,750,0.12299,0.047451,0.103286,50.258499,0.150737
4,760,0.12463,0.218864,0.142078,53.560081,0.360942
4,770,0.12627,0.04588,0.105871,52.303741,0.15175
4,780,0.12791,0.025741,0.179965,59.892387,0.205706
4,790,0.12956,0.073364,0.190759,59.735176,0.264123
4,800,0.1312,0.012202,0.24516,56.27174,0.257362
4,810,0.13284,0.06119,0.109534,58.812279,0.170724
5,820,0.13448,0.008932,0.07434,68.064964,0.083272
5,830,0.13612,0.025992,0.138612,71.001587,0.164604
5,840,0.13777,0.145266,0.243617,51.497131,0.388883
5,850,0.13941,0.003669,0.156893,60.519402,0.160562
5,860,0.14105,0.018058,0.178737,58.497604,0.196795
5,870,0.14269,0.129995,0.214295,57.148705,0.34429
5,880,0.14433,0.134659,0.12475,48.541042,0.259408
5,890,0.14598,0.051309,0.128237,60.256832,0.179546
5,900,0.14762,0.208809,0.175739,55.241177,0.384548
5,910,0.14926,0.095394,0.140768,48.836651,0.236162
5,920,0.1509,0.134575,0.167299,47.510235,0.301875
5,930,0.15255,0.062694,0.226125,58.04306,0.28882
5,940,0.15419,0.085149,0.140717,60.015862,0.225866
5,950,0.15583,0.016079,0.145334,62.256115,0.161413
5,960,0.15747,0.10706,0.175331,59.660965,0.282391
5,970,0.15911,0.094552,0.097137,74.635658,0.19169
5,980,0.16076,0.102827,0.156351,65.722168,0.259177
5,990,0.1624,0.073328,0.093424,58.515057,0.166752
5,1000,0.16404,0.014167,0.077855,67.324135,0.092022
5,1010,0.16568,0.694414,0.132785,62.440742,0.827199
6,1020,0.16732,0.157172,0.173219,54.215889,0.330391
6,1030,0.16897,0.052601,0.086174,57.926811,0.138775
6,1040,0.17061,0.15465,0.256799,59.879101,0.41145
6,1050,0.17225,0.391053,0.17947,56.409195,0.570523
6,1060,0.17389,0.161252,0.193135,46.842449,0.354387
6,1070,0.17553,0.091686,0.083628,56.135174,0.175314
6,1080,0.17718,0.027854,0.106935,67.777039,0.134789
6,1090,0.17882,0.090177,0.202557,55.519463,0.292734
6,1100,0.18046,0.037143,0.117793,67.120422,0.154936
6,1110,0.1821,0.145867,0.126106,62.524185,0.271973
6,1120,0.18374,0.084694,0.15464,61.907112,0.239334
6,1130,0.18539,0.011648,0.103452,63.53299,0.1151
6,1140,0.18703,0.184285,0.1072,65.65918,0.291485
6,1150,0.18867,0.036467,0.240024,73.484581,0.276491
6,1160,0.19031,0.071844,0.155607,61.422241,0.227451
6,1170,0.19195,0.09979,0.126166,56.846539,0.225957
6,1180,0.1936,0.008391,0.112911,57.926876,0.121301
6,1190,0.19524,0.004387,0.277781,72.754089,0.282168
6,1200,0.19688,0.21908,0.31826,61.532394,0.53734
6,1210,0.19852,0.006671,0.127732,58.146111,0.134403
7,1220,0.20016,0.134609,0.094975,55.740143,0.229583
7,1230,0.20181,0.199131,0.110447,49.663879,0.309578
7,1240,0.20345,0.017821,0.163005,61.575054,0.180825
7,1250,0.20509,0.031291,0.155012,62.190247,0.186303
7,1260,0.20673,0.045471,0.158476,57.829987,0.203948
7,1270,0.20837,0.007829,0.219725,64.372856,0.227554
7,1280,0.21002,0.052592,0.091913,66.89682,0.144505
7,1290,0.21166,0.006906,0.090021,82.443367,0.096928
7,1300,0.2133,0.227348,0.20796,76.916496,0.435308
7,1310,0.21494,0.263459,0.160033,56.35421,0.423492
7,1320,0.21658,0.129221,0.35213,53.820335,0.48135
7,1330,0.21823,0.056531,0.113659,64.601067,0.17019
7,1340,0.21987,0.113169,0.085697,69.524582,0.198865
7,1350,0.22151,0.079961,0.090546,72.691216,0.170507
7,1360,0.22315,0.017834,0.080267,79.396866,0.098101
7,1370,0.22479,0.00199,0.264955,93.995689,0.266945
7,1380,0.22644,0.008928,0.096492,68.632378,0.105419
7,1390,0.22808,0.009273,0.193301,75.252731,0.202574
