epoch,step,train_cls_loss,train_mmd,train_feat_norm,train_loss,val_photo_acc,val_photo_f1,val_art_painting_acc,val_art_painting_f1,val_cartoon_acc,val_cartoon_f1,val_mean_accuracy,val_mean_macro_f1,val_worst_accuracy,val_worst_macro_f1,best,epoch_time_s
1,203,0.786107,0.19272,57.225387,2.713307,0.775449,0.722025,0.714634,0.705188,0.733475,0.753684,0.741186,0.726966,0.714634,0.705188,1,52.9
2,406,0.598111,0.148068,69.93563,2.078794,0.829341,0.800484,0.756098,0.737856,0.754797,0.751495,0.780079,0.763278,0.754797,0.737856,1,52.7
3,609,0.581461,0.141458,89.409218,1.996044,0.874251,0.854359,0.790244,0.790385,0.835821,0.840783,0.833439,0.828509,0.790244,0.790385,1,55.8
4,812,0.490131,0.144055,94.005648,1.930684,0.901198,0.883394,0.77561,0.771448,0.795309,0.808357,0.824039,0.821066,0.77561,0.771448,0,57.3
5,1015,0.598324,0.140286,123.34261,2.001184,0.868263,0.848834,0.768293,0.757425,0.827292,0.833525,0.821283,0.813261,0.768293,0.757425,0,55.4
6,1218,0.47019,0.138229,120.87195,1.852482,0.883234,0.862792,0.758537,0.749232,0.833689,0.847675,0.825153,0.8199,0.758537,0.749232,0,56.0
7,1421,0.476333,0.133414,148.637951,1.810474,0.871257,0.855218,0.760976,0.757778,0.861407,0.875673,0.831213,0.829556,0.760976,0.757778,1,53.6
8,1624,0.576937,0.143291,122.476762,2.009845,0.889222,0.871965,0.778049,0.76491,0.850746,0.855616,0.839339,0.83083,0.778049,0.76491,1,56.5
9,1827,0.490328,0.126574,149.674702,1.756068,0.916168,0.90207,0.826829,0.826413,0.8742,0.883736,0.872399,0.87074,0.826829,0.826413,1,56.5
10,2030,0.403783,0.123053,158.660024,1.634313,0.901198,0.884934,0.785366,0.783534,0.886994,0.890528,0.857852,0.852999,0.785366,0.783534,0,56.2
11,2233,0.497959,0.1158,148.413188,1.655958,0.883234,0.861043,0.807317,0.796708,0.818763,0.834238,0.836438,0.830663,0.807317,0.796708,0,54.0
12,2436,0.457279,0.122556,177.075723,1.682841,0.889222,0.865443,0.792683,0.785603,0.80597,0.824967,0.829292,0.825337,0.792683,0.785603,0,54.9
13,2639,0.52397,0.128164,218.606966,1.805613,0.89521,0.874476,0.707317,0.697685,0.814499,0.803854,0.805675,0.792005,0.707317,0.697685,0,54.5
14,2842,0.519145,0.135526,144.057452,1.874406,0.89521,0.881355,0.792683,0.790174,0.84435,0.857722,0.844081,0.843083,0.792683,0.790174,0,53.9
