epoch,step,train_cls_loss,train_domain_loss,train_disc_acc,train_alpha,train_feat_norm,train_loss,val_photo_acc,val_photo_f1,val_art_painting_acc,val_art_painting_f1,val_cartoon_acc,val_cartoon_f1,val_mean_accuracy,val_mean_macro_f1,val_worst_accuracy,val_worst_macro_f1,best,epoch_time_s
1,203,0.532677,0.636188,0.811063,0.082544,41.121309,1.168865,0.886228,0.867445,0.841463,0.840042,0.89339,0.901191,0.873694,0.869559,0.841463,0.840042,1,53.3
2,406,0.210618,0.725776,0.353859,0.244002,56.667232,0.936394,0.958084,0.952662,0.882927,0.882379,0.916844,0.922891,0.919285,0.919311,0.882927,0.882379,1,51.0
3,609,0.150015,0.705312,0.444787,0.393003,54.622453,0.855327,0.958084,0.950392,0.868293,0.868592,0.921109,0.929658,0.915828,0.916214,0.868293,0.868592,0,56.3
4,812,0.12906,0.69097,0.526478,0.523908,51.273518,0.82003,0.934132,0.926721,0.863415,0.862342,0.89339,0.897544,0.896979,0.895536,0.863415,0.862342,0,54.3
5,1015,0.115474,0.693147,0.499282,0.634028,51.237014,0.808621,0.961078,0.952897,0.907317,0.902371,0.929638,0.929273,0.932677,0.92818,0.907317,0.902371,1,54.7
6,1218,0.105742,0.699457,0.466236,0.723325,51.336468,0.8052,0.949102,0.942138,0.919512,0.918179,0.946695,0.950811,0.938436,0.937043,0.919512,0.918179,1,56.8
7,1421,0.078989,0.693213,0.532635,0.793602,59.484998,0.772202,0.964072,0.959345,0.890244,0.887439,0.940299,0.946709,0.931538,0.931164,0.890244,0.887439,0,56.0
8,1624,0.077813,0.695749,0.501232,0.847617,61.567333,0.773562,0.934132,0.921438,0.85122,0.844935,0.916844,0.920252,0.900732,0.895542,0.85122,0.844935,0,54.0
9,1827,0.069856,0.69677,0.491174,0.888383,58.516987,0.766626,0.931138,0.920049,0.84878,0.831539,0.872068,0.878329,0.883995,0.876639,0.84878,0.831539,0,54.8
10,2030,0.070667,0.695677,0.503797,0.918726,66.570914,0.766344,0.961078,0.954099,0.897561,0.894544,0.91258,0.918132,0.92374,0.922258,0.897561,0.894544,0,53.6
11,2233,0.059866,0.689045,0.540538,0.94108,64.237866,0.748911,0.97006,0.964314,0.897561,0.897828,0.936034,0.944292,0.934552,0.935478,0.897561,0.897828,0,55.0
