epoch,step,progress,cls_loss,domain_loss,disc_acc,alpha,feat_norm,loss
1,10,0.00148,1.513278,0.686826,0.5625,0.007389,15.865517,2.200104
1,20,0.00312,0.869354,0.685969,0.520833,0.015598,37.465553,1.555323
1,30,0.00476,0.735341,0.682238,0.708333,0.023805,38.380703,1.417578
1,40,0.0064,0.723422,0.676645,0.8125,0.032009,43.097588,1.400067
1,50,0.00805,0.5306,0.666871,0.854167,0.040208,39.49369,1.197471
1,60,0.00969,0.555226,0.656146,0.9375,0.048402,40.861084,1.211373
1,70,0.01133,0.273637,0.654661,0.854167,0.05659,47.378201,0.928298
1,80,0.01297,0.20083,0.644983,0.958333,0.06477,47.203911,0.845812
1,90,0.01461,0.332649,0.634969,0.916667,0.072941,37.845413,0.967617
1,100,0.01626,0.35834,0.617193,0.979167,0.081102,40.079155,0.975534
1,110,0.0179,0.219039,0.611033,0.916667,0.089253,40.69928,0.830072
1,120,0.01954,0.164063,0.603881,0.895833,0.097391,40.215714,0.767944
1,130,0.02118,0.230144,0.607638,0.8125,0.105517,43.387718,0.837782
1,140,0.02282,0.108826,0.597454,0.875,0.113629,42.069664,0.70628
1,150,0.02447,0.367941,0.609682,0.791667,0.121725,43.075287,0.977623
1,160,0.02611,0.196059,0.583457,0.791667,0.129805,43.523632,0.779516
1,170,0.02775,0.27396,0.590726,0.833333,0.137868,44.291237,0.864685
1,180,0.02939,0.300906,0.60644,0.833333,0.145913,43.115143,0.907346
1,190,0.03103,0.025687,0.609665,0.770833,0.153939,52.314281,0.635352
1,200,0.03268,0.099346,0.629217,0.770833,0.161944,40.634537,0.728562
2,210,0.03432,0.216749,0.658519,0.666667,0.169928,44.832611,0.875268
2,220,0.03596,0.229749,0.692408,0.479167,0.17789,50.662701,0.922157
2,230,0.0376,0.199267,0.678554,0.625,0.185829,41.673805,0.877821
2,240,0.03924,0.127074,0.682818,0.479167,0.193743,42.312809,0.809892
2,250,0.04089,0.160196,0.769447,0.208333,0.201632,43.191143,0.929643
