method,type,sketch_id,true,source_only_pred,method_pred
dan,lost,sketch/12100.png,person,person,house
dan,lost,sketch/12109.png,person,person,house
dan,lost,sketch/12216.png,person,person,house
dan,lost,sketch/12235.png,person,person,house
dan,gained,sketch/n02103406_3326-11.png,dog,elephant,dog
dan,gained,sketch/n02103406_3538-7.png,dog,person,dog
dan,gained,sketch/n02109525_5583-5.png,dog,person,dog
dan,gained,sketch/n02109525_8211-1.png,dog,person,dog
dann,lost,sketch/n02676566_330-5.png,guitar,guitar,giraffe
dann,lost,sketch/n02676566_5489-4.png,guitar,guitar,person
dann,lost,sketch/n03467517_22871-2.png,guitar,guitar,person
dann,lost,sketch/n03467517_6423-3.png,guitar,guitar,dog
dann,gained,sketch/n02439033_10279-5.png,giraffe,dog,giraffe
dann,gained,sketch/n02439033_11130-2.png,giraffe,horse,giraffe
dann,gained,sketch/n02439033_9604-2.png,giraffe,horse,giraffe
dann,gained,sketch/n02439033_9719-8.png,giraffe,horse,giraffe
cdan,lost,sketch/n02103406_343-1.png,dog,dog,elephant
cdan,lost,sketch/n02103406_4068-7.png,dog,dog,horse
cdan,lost,sketch/n02109525_3202-4.png,dog,dog,elephant
cdan,lost,sketch/n02109525_7874-1.png,dog,dog,person
cdan,gained,sketch/n02439033_10802-1.png,giraffe,horse,giraffe
cdan,gained,sketch/n02439033_11130-5.png,giraffe,horse,giraffe
cdan,gained,sketch/n02439033_9598-1.png,giraffe,horse,giraffe
cdan,gained,sketch/n02439033_9719-3.png,giraffe,horse,giraffe
