epoch,step,progress,cls_loss,loss
1,10,0.00148,1.515831,1.515831
1,20,0.00312,0.93942,0.93942
1,30,0.00476,0.413324,0.413324
1,40,0.0064,0.914787,0.914787
1,50,0.00805,0.731955,0.731955
1,60,0.00969,0.754614,0.754614
1,70,0.01133,0.250156,0.250156
1,80,0.01297,0.262837,0.262837
1,90,0.01461,0.333223,0.333223
1,100,0.01626,0.302756,0.302756
1,110,0.0179,0.236601,0.236601
1,120,0.01954,0.197437,0.197437
1,130,0.02118,0.198605,0.198605
1,140,0.02282,0.278571,0.278571
1,150,0.02447,0.400669,0.400669
1,160,0.02611,0.261972,0.261972
1,170,0.02775,0.210362,0.210362
1,180,0.02939,0.328216,0.328216
1,190,0.03103,0.075023,0.075023
1,200,0.03268,0.201928,0.201928
2,210,0.03432,0.422283,0.422283
2,220,0.03596,0.170931,0.170931
2,230,0.0376,0.394453,0.394453
2,240,0.03924,0.151881,0.151881
2,250,0.04089,0.343467,0.343467
2,260,0.04253,0.203622,0.203622
2,270,0.04417,0.544506,0.544506
2,280,0.04581,0.2223,0.2223
2,290,0.04745,0.191145,0.191145
2,300,0.0491,0.058577,0.058577
2,310,0.05074,0.092539,0.092539
2,320,0.05238,0.099432,0.099432
2,330,0.05402,0.173245,0.173245
2,340,0.05567,0.067297,0.067297
2,350,0.05731,0.213315,0.213315
2,360,0.05895,0.159028,0.159028
2,370,0.06059,0.092404,0.092404
2,380,0.06223,0.467072,0.467072
2,390,0.06388,0.078589,0.078589
2,400,0.06552,0.085359,0.085359
3,410,0.06716,0.058653,0.058653
3,420,0.0688,0.350891,0.350891
3,430,0.07044,0.195207,0.195207
3,440,0.07209,0.074118,0.074118
3,450,0.07373,0.193031,0.193031
3,460,0.07537,0.161256,0.161256
3,470,0.07701,0.18474,0.18474
3,480,0.07865,0.180922,0.180922
3,490,0.0803,0.081459,0.081459
3,500,0.08194,0.038273,0.038273
3,510,0.08358,0.274235,0.274235
3,520,0.08522,0.092208,0.092208
3,530,0.08686,0.101853,0.101853
3,540,0.08851,0.05185,0.05185
3,550,0.09015,0.153183,0.153183
3,560,0.09179,0.093404,0.093404
3,570,0.09343,0.063183,0.063183
3,580,0.09507,0.333992,0.333992
3,590,0.09672,0.020637,0.020637
3,600,0.09836,0.12061,0.12061
4,610,0.1,0.051136,0.051136
4,620,0.10164,0.045143,0.045143
4,630,0.10328,0.183997,0.183997
4,640,0.10493,0.223506,0.223506
4,650,0.10657,0.066936,0.066936
4,660,0.10821,0.033182,0.033182
4,670,0.10985,0.028154,0.028154
4,680,0.11149,0.21006,0.21006
4,690,0.11314,0.151648,0.151648
4,700,0.11478,0.06553,0.06553
4,710,0.11642,0.141937,0.141937
4,720,0.11806,0.030526,0.030526
4,730,0.1197,0.039452,0.039452
4,740,0.12135,0.394308,0.394308
4,750,0.12299,0.019856,0.019856
4,760,0.12463,0.484547,0.484547
4,770,0.12627,0.03562,0.03562
4,780,0.12791,0.024384,0.024384
4,790,0.12956,0.08138,0.08138
4,800,0.1312,0.013061,0.013061
4,810,0.13284,0.007547,0.007547
5,820,0.13448,0.075282,0.075282
5,830,0.13612,0.027044,0.027044
5,840,0.13777,0.546529,0.546529
5,850,0.13941,0.009612,0.009612
5,860,0.14105,0.009919,0.009919
5,870,0.14269,0.040137,0.040137
5,880,0.14433,0.099726,0.099726
5,890,0.14598,0.292865,0.292865
5,900,0.14762,0.323951,0.323951
5,910,0.14926,0.077175,0.077175
5,920,0.1509,0.128053,0.128053
5,930,0.15255,0.08435,0.08435
5,940,0.15419,0.068598,0.068598
