epoch,step,progress,cls_loss,domain_loss,disc_acc,alpha,loss
1,10,0.00148,1.514093,0.617655,0.666667,0.007389,2.131748
1,20,0.00312,0.872838,0.418345,1.0,0.015598,1.291183
1,30,0.00476,0.745008,0.284948,0.979167,0.023805,1.029956
1,40,0.0064,0.754762,0.271143,0.916667,0.032009,1.025905
1,50,0.00805,0.51417,0.212678,0.958333,0.040208,0.726848
1,60,0.00969,0.536166,0.235548,0.9375,0.048402,0.771713
1,70,0.01133,0.29215,0.333503,0.875,0.05659,0.625653
1,80,0.01297,0.204264,0.227562,0.9375,0.06477,0.431826
1,90,0.01461,0.368171,0.423309,0.875,0.072941,0.791481
1,100,0.01626,0.254411,0.368146,0.833333,0.081102,0.622557
1,110,0.0179,0.235025,0.343822,0.875,0.089253,0.578848
1,120,0.01954,0.17325,0.444287,0.770833,0.097391,0.617538
1,130,0.02118,0.185914,0.587108,0.6875,0.105517,0.773023
1,140,0.02282,0.258596,0.663522,0.708333,0.113629,0.922118
1,150,0.02447,0.298704,0.583911,0.729167,0.121725,0.882616
1,160,0.02611,0.138446,0.861834,0.604167,0.129805,1.00028
1,170,0.02775,0.417092,0.766896,0.666667,0.137868,1.183988
1,180,0.02939,0.348218,1.13307,0.375,0.145913,1.481288
1,190,0.03103,0.068846,0.677422,0.75,0.153939,0.746268
1,200,0.03268,0.18425,0.976521,0.583333,0.161944,1.160771
2,210,0.03432,0.309869,0.740948,0.75,0.169928,1.050817
2,220,0.03596,0.247924,0.717591,0.6875,0.17789,0.965515
2,230,0.0376,0.260615,0.536406,0.6875,0.185829,0.79702
2,240,0.03924,0.184096,0.422592,0.833333,0.193743,0.606688
2,250,0.04089,0.293924,0.609139,0.6875,0.201632,0.903063
2,260,0.04253,0.301612,0.511475,0.729167,0.209496,0.813086
2,270,0.04417,0.333348,0.714839,0.541667,0.217332,1.048187
2,280,0.04581,0.136845,0.489761,0.729167,0.22514,0.626605
2,290,0.04745,0.210318,0.539673,0.708333,0.232919,0.749991
2,300,0.0491,0.02648,0.761226,0.583333,0.240669,0.787706
2,310,0.05074,0.016832,0.542733,0.729167,0.248388,0.559565
2,320,0.05238,0.037051,0.603355,0.645833,0.256076,0.640406
2,330,0.05402,0.356054,0.682013,0.666667,0.263732,1.038067
2,340,0.05567,0.299809,0.7233,0.541667,0.271354,1.023109
2,350,0.05731,0.423588,0.700786,0.604167,0.278943,1.124374
2,360,0.05895,0.520616,0.846666,0.645833,0.286497,1.367282
2,370,0.06059,0.079767,0.639384,0.583333,0.294015,0.71915
2,380,0.06223,0.408057,0.686707,0.6875,0.301497,1.094764
2,390,0.06388,0.081204,0.677132,0.708333,0.308943,0.758336
2,400,0.06552,0.210978,0.609983,0.6875,0.31635,0.820961
3,410,0.06716,0.190836,0.489623,0.729167,0.323719,0.680459
3,420,0.0688,0.212059,0.682267,0.625,0.33105,0.894327
3,430,0.07044,0.044308,0.717469,0.666667,0.33834,0.761776
3,440,0.07209,0.054962,0.567425,0.625,0.34559,0.622387
3,450,0.07373,0.075982,0.614132,0.6875,0.352799,0.690114
3,460,0.07537,0.076892,0.973087,0.416667,0.359966,1.049979
3,470,0.07701,1.07211,14.409429,0.270833,0.367092,15.481539
3,480,0.07865,1.959324,0.896605,0.458333,0.374174,2.85593
3,490,0.0803,2.050894,0.738627,0.166667,0.381213,2.789522
3,500,0.08194,1.940155,0.694031,0.479167,0.388208,2.634186
3,510,0.08358,1.986572,0.690243,0.645833,0.395158,2.676815
3,520,0.08522,1.928376,0.692482,0.5,0.402064,2.620858
3,530,0.08686,2.015905,0.696671,0.5,0.408924,2.712577
3,540,0.08851,1.886445,0.689946,0.645833,0.415738,2.576391
3,550,0.09015,1.875728,0.69029,0.583333,0.422506,2.566018
3,560,0.09179,1.535652,0.700663,0.625,0.429227,2.236314
3,570,0.09343,1.525446,0.683779,0.8125,0.435901,2.209226
3,580,0.09507,1.493805,0.665561,0.75,0.442528,2.159366
3,590,0.09672,1.707493,0.642467,0.583333,0.449106,2.34996
3,600,0.09836,1.938973,0.66438,0.520833,0.455636,2.603353
4,610,0.1,1.514115,0.635806,0.604167,0.462117,2.149921
4,620,0.10164,1.676787,0.657065,0.5625,0.468549,2.333852
4,630,0.10328,1.273921,0.623286,0.645833,0.474933,1.897207
4,640,0.10493,1.224045,0.601291,0.520833,0.481266,1.825336
4,650,0.10657,1.726548,0.641397,0.604167,0.48755,2.367944
4,660,0.10821,1.710411,0.680048,0.583333,0.493783,2.390459
4,670,0.10985,1.456988,0.588532,0.604167,0.499966,2.04552
4,680,0.11149,1.30388,0.614,0.625,0.506099,1.91788
4,690,0.11314,1.500309,0.663934,0.5625,0.512181,2.164242
4,700,0.11478,1.43692,0.603431,0.708333,0.518212,2.04035
4,710,0.11642,1.717663,0.63007,0.666667,0.524191,2.347734
4,720,0.11806,2.169513,3.431285,0.416667,0.53012,5.600798
