epoch,step,progress,cls_loss,mmd,loss
1,10,0.00148,1.831768,0.262542,2.09431
1,20,0.00312,1.252085,0.192233,1.444318
1,30,0.00476,0.828397,0.22329,1.051687
1,40,0.0064,0.690381,0.19002,0.880401
1,50,0.00805,0.577185,0.193174,0.77036
1,60,0.00969,0.613629,0.190305,0.803933
1,70,0.01133,0.206608,0.178239,0.384847
1,80,0.01297,0.526089,0.293451,0.81954
1,90,0.01461,0.63172,0.227472,0.859191
1,100,0.01626,0.317119,0.232261,0.549381
1,110,0.0179,0.382222,0.259873,0.642095
1,120,0.01954,0.393705,0.189951,0.583656
1,130,0.02118,0.396767,0.16371,0.560477
1,140,0.02282,0.36705,0.316368,0.683418
1,150,0.02447,0.318795,0.180968,0.499762
1,160,0.02611,0.318003,0.217275,0.535277
1,170,0.02775,0.18617,0.192433,0.378604
1,180,0.02939,0.435282,0.177172,0.612454
1,190,0.03103,0.104135,0.213468,0.317602
1,200,0.03268,0.138167,0.209413,0.34758
2,210,0.03432,0.218334,0.231275,0.44961
2,220,0.03596,0.184153,0.174005,0.358158
2,230,0.0376,0.181744,0.260215,0.441959
2,240,0.03924,0.178341,0.155068,0.33341
2,250,0.04089,0.402246,0.322431,0.724677
2,260,0.04253,0.231708,0.205795,0.437503
2,270,0.04417,0.411673,0.129705,0.541378
2,280,0.04581,0.319088,0.170365,0.489452
2,290,0.04745,0.163856,0.16276,0.326615
2,300,0.0491,0.146559,0.159547,0.306107
2,310,0.05074,0.105895,0.156878,0.262773
2,320,0.05238,0.059879,0.141577,0.201455
2,330,0.05402,0.20825,0.185321,0.393571
2,340,0.05567,0.088108,0.182859,0.270967
2,350,0.05731,0.256727,0.236547,0.493274
2,360,0.05895,0.179682,0.169567,0.349249
2,370,0.06059,0.066276,0.160339,0.226615
2,380,0.06223,0.096934,0.185555,0.28249
2,390,0.06388,0.181447,0.179224,0.360671
2,400,0.06552,0.150029,0.166946,0.316975
3,410,0.06716,0.135283,0.231126,0.366408
3,420,0.0688,0.175153,0.149946,0.325098
3,430,0.07044,0.215154,0.164123,0.379277
3,440,0.07209,0.103413,0.195589,0.299002
3,450,0.07373,0.122062,0.141376,0.263438
3,460,0.07537,0.127138,0.189411,0.31655
3,470,0.07701,0.135983,0.237091,0.373074
3,480,0.07865,0.098934,0.225359,0.324293
3,490,0.0803,0.087997,0.172646,0.260643
3,500,0.08194,0.125329,0.312275,0.437604
3,510,0.08358,0.348333,0.134088,0.48242
3,520,0.08522,0.179502,0.184871,0.364373
3,530,0.08686,0.157098,0.138983,0.296081
3,540,0.08851,0.161148,0.207617,0.368764
3,550,0.09015,0.062088,0.212427,0.274515
3,560,0.09179,0.046326,0.243175,0.289501
3,570,0.09343,0.262716,0.200721,0.463436
3,580,0.09507,0.123817,0.162376,0.286193
3,590,0.09672,0.125555,0.180404,0.305959
3,600,0.09836,0.134665,0.212822,0.347488
4,610,0.1,0.089685,0.307183,0.396868
4,620,0.10164,0.253402,0.256277,0.509679
4,630,0.10328,0.13835,0.168509,0.30686
4,640,0.10493,0.132842,0.135062,0.267904
4,650,0.10657,0.053277,0.164118,0.217395
4,660,0.10821,0.163045,0.146018,0.309063
4,670,0.10985,0.033277,0.13047,0.163747
4,680,0.11149,0.176859,0.122482,0.29934
4,690,0.11314,0.122877,0.258116,0.380994
4,700,0.11478,0.065221,0.152806,0.218027
4,710,0.11642,0.117486,0.169404,0.28689
4,720,0.11806,0.119981,0.330422,0.450403
4,730,0.1197,0.030879,0.117101,0.14798
4,740,0.12135,0.117436,0.224039,0.341475
4,750,0.12299,0.062492,0.139775,0.202267
4,760,0.12463,0.36064,0.135134,0.495774
4,770,0.12627,0.06632,0.140752,0.207071
4,780,0.12791,0.072502,0.183684,0.256186
4,790,0.12956,0.194184,0.165837,0.360022
4,800,0.1312,0.149099,0.27692,0.426019
4,810,0.13284,0.114804,0.200145,0.314949
5,820,0.13448,0.051978,0.097873,0.149852
5,830,0.13612,0.120062,0.104,0.224062
5,840,0.13777,0.271328,0.264432,0.53576
5,850,0.13941,0.067478,0.14346,0.210938
5,860,0.14105,0.057045,0.186803,0.243848
5,870,0.14269,0.03883,0.250823,0.289653
5,880,0.14433,0.184138,0.128562,0.3127
5,890,0.14598,0.193629,0.146859,0.340488
5,900,0.14762,0.112797,0.165755,0.278551
5,910,0.14926,0.089232,0.148765,0.237997
5,920,0.1509,0.059315,0.202186,0.261502
5,930,0.15255,0.065467,0.317075,0.382542
5,940,0.15419,0.189841,0.158757,0.348598
5,950,0.15583,0.144601,0.163531,0.308131
5,960,0.15747,0.120611,0.15134,0.271951
5,970,0.15911,0.222369,0.109876,0.332245
5,980,0.16076,0.045195,0.182923,0.228119
5,990,0.1624,0.083699,0.089726,0.173426
5,1000,0.16404,0.069215,0.115063,0.184279
5,1010,0.16568,0.101043,0.15145,0.252493
6,1020,0.16732,0.08714,0.157092,0.244232
6,1030,0.16897,0.096585,0.128969,0.225554
6,1040,0.17061,0.051248,0.275894,0.327142
6,1050,0.17225,0.217639,0.154993,0.372631
6,1060,0.17389,0.060201,0.151775,0.211976
6,1070,0.17553,0.098727,0.153284,0.252011
6,1080,0.17718,0.130149,0.13844,0.268589
6,1090,0.17882,0.04327,0.212876,0.256145
6,1100,0.18046,0.01872,0.178682,0.197402
6,1110,0.1821,0.106329,0.120336,0.226665
6,1120,0.18374,0.118117,0.209766,0.327883
6,1130,0.18539,0.031184,0.127357,0.158541
6,1140,0.18703,0.160331,0.14576,0.306091
6,1150,0.18867,0.089429,0.245081,0.334511
6,1160,0.19031,0.146261,0.191408,0.337669
6,1170,0.19195,0.027508,0.174505,0.202013
6,1180,0.1936,0.087015,0.123071,0.210086
6,1190,0.19524,0.123514,0.323025,0.446539
6,1200,0.19688,0.09887,0.250062,0.348932
6,1210,0.19852,0.053353,0.138226,0.191579
7,1220,0.20016,0.051203,0.149842,0.201044
7,1230,0.20181,0.162205,0.163185,0.32539
7,1240,0.20345,0.068432,0.162274,0.230706
7,1250,0.20509,0.081654,0.146351,0.228005
7,1260,0.20673,0.073077,0.185727,0.258804
7,1270,0.20837,0.044469,0.20166,0.246129
7,1280,0.21002,0.044452,0.129316,0.173768
7,1290,0.21166,0.03988,0.134709,0.174589
7,1300,0.2133,0.043846,0.191286,0.235132
7,1310,0.21494,0.12724,0.114757,0.241996
7,1320,0.21658,0.081294,0.342105,0.4234
7,1330,0.21823,0.043064,0.111113,0.154177
7,1340,0.21987,0.046107,0.113089,0.159196
7,1350,0.22151,0.068605,0.085145,0.15375
7,1360,0.22315,0.018835,0.177106,0.19594
7,1370,0.22479,0.060517,0.273255,0.333772
7,1380,0.22644,0.05383,0.145339,0.199169
7,1390,0.22808,0.071774,0.113647,0.185421
7,1400,0.22972,0.032403,0.126661,0.159065
7,1410,0.23136,0.06031,0.117982,0.178292
7,1420,0.233,0.094066,0.17166,0.265725
8,1430,0.23465,0.105763,0.140221,0.245984
8,1440,0.23629,0.03703,0.188291,0.225321
8,1450,0.23793,0.022224,0.220529,0.242753
8,1460,0.23957,0.051839,0.170729,0.222568
8,1470,0.24122,0.027641,0.206723,0.234364
8,1480,0.24286,0.043707,0.101689,0.145397
8,1490,0.2445,0.030532,0.176999,0.207531
8,1500,0.24614,0.174265,0.326944,0.501208
8,1510,0.24778,0.049656,0.15191,0.201566
8,1520,0.24943,0.036209,0.140769,0.176978
8,1530,0.25107,0.181177,0.22678,0.407957
8,1540,0.25271,0.111666,0.134532,0.246198
8,1550,0.25435,0.05024,0.127255,0.177495
8,1560,0.25599,0.056476,0.160756,0.217232
8,1570,0.25764,0.081118,0.162551,0.243668
8,1580,0.25928,0.133239,0.261615,0.394854
8,1590,0.26092,0.063155,0.191015,0.254171
8,1600,0.26256,0.027132,0.22545,0.252582
8,1610,0.2642,0.040664,0.133971,0.174635
8,1620,0.26585,0.223746,0.140821,0.364567
9,1630,0.26749,0.132962,0.175484,0.308446
9,1640,0.26913,0.074393,0.221737,0.29613
9,1650,0.27077,0.028074,0.134413,0.162486
9,1660,0.27241,0.030762,0.07903,0.109793
9,1670,0.27406,0.022599,0.157615,0.180214
9,1680,0.2757,0.039582,0.16195,0.201532
9,1690,0.27734,0.061174,0.110969,0.172143
9,1700,0.27898,0.030197,0.096079,0.126276
9,1710,0.28062,0.042831,0.237019,0.279849
9,1720,0.28227,0.036174,0.199546,0.235719
9,1730,0.28391,0.02259,0.25166,0.27425
9,1740,0.28555,0.12061,0.134399,0.255009
9,1750,0.28719,0.041908,0.173739,0.215647
9,1760,0.28883,0.025007,0.224892,0.249899
9,1770,0.29048,0.048872,0.151969,0.200841
9,1780,0.29212,0.071379,0.147234,0.218613
9,1790,0.29376,0.083638,0.115082,0.19872
9,1800,0.2954,0.030616,0.172078,0.202694
9,1810,0.29704,0.053858,0.121789,0.175647
9,1820,0.29869,0.068732,0.133426,0.202158
10,1830,0.30033,0.084526,0.161608,0.246134
10,1840,0.30197,0.027286,0.090838,0.118124
10,1850,0.30361,0.018112,0.165687,0.183798
10,1860,0.30525,0.048173,0.182172,0.230345
10,1870,0.3069,0.032359,0.103409,0.135768
10,1880,0.30854,0.157563,0.06791,0.225474
10,1890,0.31018,0.033217,0.137803,0.17102
10,1900,0.31182,0.04424,0.180219,0.224459
10,1910,0.31346,0.09528,0.142119,0.237398
10,1920,0.31511,0.032341,0.18528,0.21762
10,1930,0.31675,0.075554,0.115535,0.19109
10,1940,0.31839,0.042002,0.105284,0.147286
10,1950,0.32003,0.072371,0.186131,0.258502
10,1960,0.32167,0.158693,0.189281,0.347975
10,1970,0.32332,0.224186,0.140412,0.364597
10,1980,0.32496,0.059689,0.162205,0.221895
10,1990,0.3266,0.034821,0.275761,0.310582
10,2000,0.32824,0.054302,0.116003,0.170305
10,2010,0.32989,0.03905,0.141993,0.181043
10,2020,0.33153,0.015944,0.204804,0.220747
10,2030,0.33317,0.043271,0.280715,0.323986
11,2040,0.33481,0.03922,0.162008,0.201228
11,2050,0.33645,0.020177,0.11365,0.133827
11,2060,0.3381,0.009012,0.153432,0.162444
11,2070,0.33974,0.021385,0.230159,0.251544
11,2080,0.34138,0.021254,0.08826,0.109514
11,2090,0.34302,0.023653,0.130559,0.154212
11,2100,0.34466,0.047445,0.1187,0.166145
11,2110,0.34631,0.070428,0.118506,0.188935
11,2120,0.34795,0.072449,0.076908,0.149357
11,2130,0.34959,0.042619,0.079481,0.1221
11,2140,0.35123,0.033441,0.199086,0.232527
11,2150,0.35287,0.039402,0.170114,0.209517
11,2160,0.35452,0.021906,0.174658,0.196563
11,2170,0.35616,0.030784,0.201636,0.23242
11,2180,0.3578,0.051811,0.26711,0.31892
11,2190,0.35944,0.020955,0.2346,0.255555
11,2200,0.36108,0.024662,0.243006,0.267668
11,2210,0.36273,0.039568,0.148477,0.188044
11,2220,0.36437,0.025691,0.226698,0.252389
11,2230,0.36601,0.03875,0.309422,0.348172
12,2240,0.36765,0.028653,0.282802,0.311455
12,2250,0.36929,0.024508,0.22931,0.253817
12,2260,0.37094,0.065972,0.271194,0.337165
12,2270,0.37258,0.066192,0.141062,0.207254
12,2280,0.37422,0.01336,0.158071,0.17143
12,2290,0.37586,0.039216,0.112973,0.15219
12,2300,0.3775,0.038909,0.122344,0.161253
12,2310,0.37915,0.025931,0.10998,0.135911
12,2320,0.38079,0.037495,0.114875,0.15237
12,2330,0.38243,0.047745,0.23965,0.287395
12,2340,0.38407,0.152887,0.126865,0.279752
12,2350,0.38571,0.022533,0.135205,0.157737
12,2360,0.38736,0.139667,0.192561,0.332228
12,2370,0.389,0.027477,0.126584,0.15406
12,2380,0.39064,0.038982,0.289197,0.328179
12,2390,0.39228,0.037724,0.135141,0.172864
12,2400,0.39392,0.020429,0.124758,0.145188
12,2410,0.39557,0.031064,0.261487,0.29255
12,2420,0.39721,0.035952,0.209714,0.245665
12,2430,0.39885,0.043588,0.236935,0.280523
13,2440,0.40049,0.018965,0.229852,0.248817
13,2450,0.40213,0.033315,0.170063,0.203377
13,2460,0.40378,0.044097,0.114055,0.158152
13,2470,0.40542,0.035343,0.120997,0.156339
13,2480,0.40706,0.029543,0.180475,0.210019
13,2490,0.4087,0.069239,0.147182,0.21642
13,2500,0.41034,0.034439,0.088208,0.122648
13,2510,0.41199,0.050586,0.095663,0.146249
13,2520,0.41363,0.033121,0.252262,0.285383
13,2530,0.41527,0.063157,0.268138,0.331295
13,2540,0.41691,0.027643,0.103334,0.130977
13,2550,0.41856,0.017176,0.115364,0.13254
13,2560,0.4202,0.016287,0.119265,0.135552
13,2570,0.42184,0.067707,0.14717,0.214876
13,2580,0.42348,0.050741,0.092194,0.142935
13,2590,0.42512,0.038142,0.159677,0.197819
13,2600,0.42677,0.079774,0.308099,0.387873
13,2610,0.42841,0.051688,0.082017,0.133706
13,2620,0.43005,0.026762,0.283435,0.310197
13,2630,0.43169,0.051355,0.110482,0.161837
14,2640,0.43333,0.037048,0.081739,0.118788
14,2650,0.43498,0.060534,0.152255,0.21279
14,2660,0.43662,0.019485,0.154925,0.174411
14,2670,0.43826,0.078716,0.215058,0.293774
14,2680,0.4399,0.037523,0.092032,0.129556
14,2690,0.44154,0.050439,0.077708,0.128147
