epoch,step,train_cls_loss,train_mmd,train_loss,val_photo_acc,val_photo_f1,val_art_painting_acc,val_art_painting_f1,val_cartoon_acc,val_cartoon_f1,val_mean_accuracy,val_mean_macro_f1,val_worst_accuracy,val_worst_macro_f1,best,epoch_time_s
1,203,0.530124,0.350761,0.5652,0.901198,0.881026,0.858537,0.856438,0.89339,0.894862,0.884375,0.877442,0.858537,0.856438,1,48.7
2,406,0.228887,0.251832,0.25407,0.958084,0.949727,0.873171,0.868771,0.933902,0.939556,0.921719,0.919351,0.873171,0.868771,1,47.3
3,609,0.163947,0.231014,0.187049,0.958084,0.950806,0.885366,0.879629,0.925373,0.928472,0.922941,0.919635,0.885366,0.879629,1,50.8
4,812,0.113843,0.227229,0.136566,0.952096,0.945153,0.870732,0.872598,0.878465,0.885918,0.900431,0.901223,0.870732,0.872598,0,51.6
5,1015,0.089486,0.218547,0.111341,0.961078,0.95657,0.865854,0.873788,0.914712,0.919824,0.913881,0.916727,0.865854,0.873788,0,49.9
6,1218,0.078252,0.206522,0.098904,0.961078,0.955129,0.907317,0.907717,0.953092,0.955622,0.940496,0.93949,0.907317,0.907717,1,51.8
7,1421,0.055494,0.210518,0.076545,0.95509,0.946301,0.885366,0.893905,0.933902,0.938919,0.924786,0.926375,0.885366,0.893905,0,51.3
8,1624,0.072737,0.200244,0.092761,0.961078,0.955413,0.902439,0.895344,0.927505,0.926744,0.930341,0.925833,0.902439,0.895344,0,51.9
9,1827,0.037268,0.194522,0.05672,0.964072,0.95792,0.919512,0.920737,0.944563,0.949781,0.942716,0.942813,0.919512,0.920737,1,50.5
10,2030,0.028055,0.194357,0.04749,0.958084,0.950891,0.882927,0.881102,0.918977,0.924075,0.919996,0.918689,0.882927,0.881102,0,53.1
11,2233,0.030015,0.188398,0.048855,0.964072,0.959258,0.92439,0.92459,0.940299,0.947147,0.94292,0.943665,0.92439,0.92459,1,50.3
12,2436,0.069392,0.191402,0.088532,0.952096,0.944478,0.885366,0.886862,0.953092,0.958443,0.930184,0.929928,0.885366,0.886862,0,53.1
13,2639,0.063734,0.194887,0.083223,0.946108,0.936524,0.87561,0.875675,0.910448,0.915558,0.910722,0.909252,0.87561,0.875675,0,50.7
14,2842,0.027081,0.186906,0.045771,0.961078,0.953462,0.904878,0.899241,0.950959,0.952799,0.938972,0.935167,0.904878,0.899241,0,52.3
15,3045,0.015215,0.181203,0.033336,0.979042,0.974354,0.929268,0.931492,0.950959,0.956181,0.95309,0.954009,0.929268,0.931492,1,50.4
16,3248,0.009187,0.175303,0.026717,0.964072,0.956374,0.895122,0.8915,0.950959,0.949595,0.936718,0.93249,0.895122,0.8915,0,52.8
17,3451,0.030199,0.19199,0.049398,0.937126,0.924269,0.895122,0.89454,0.953092,0.956178,0.928446,0.924996,0.895122,0.89454,0,50.2
18,3654,0.075485,0.194128,0.094897,0.922156,0.908642,0.804878,0.814215,0.91258,0.917209,0.879871,0.880022,0.804878,0.814215,0,51.8
19,3857,0.038231,0.179444,0.056175,0.964072,0.958167,0.9,0.90068,0.925373,0.932029,0.929815,0.930292,0.9,0.90068,0,50.5
20,4060,0.021979,0.184173,0.040396,0.967066,0.961368,0.914634,0.91621,0.950959,0.954786,0.94422,0.944121,0.914634,0.91621,0,52.2
