epoch,step,progress,cls_loss,domain_loss,disc_acc,alpha,loss
1,10,0.00148,1.512132,0.617264,0.75,0.007389,2.129396
1,20,0.00312,0.861148,0.567894,0.666667,0.015598,1.429041
1,30,0.00476,0.756568,0.47765,0.833333,0.023805,1.234218
1,40,0.0064,0.720539,0.415971,0.833333,0.032009,1.13651
1,50,0.00805,0.53777,0.300331,0.958333,0.040208,0.838101
1,60,0.00969,0.587972,0.338972,0.833333,0.048402,0.926944
1,70,0.01133,0.233304,0.445098,0.791667,0.05659,0.678402
1,80,0.01297,0.237466,0.582125,0.666667,0.06477,0.819592
1,90,0.01461,0.33501,0.486838,0.75,0.072941,0.821848
1,100,0.01626,0.328238,0.651635,0.5,0.081102,0.979872
1,110,0.0179,0.24088,0.807549,0.458333,0.089253,1.04843
1,120,0.01954,0.145437,0.943304,0.458333,0.097391,1.088741
1,130,0.02118,0.237804,1.25188,0.208333,0.105517,1.489685
1,140,0.02282,0.1632,3.253373,0.083333,0.113629,3.416573
1,150,0.02447,1.513352,56.128323,0.354167,0.121725,57.641674
1,160,0.02611,57.799297,5153.548828,0.3125,0.129805,5211.348145
1,170,0.02775,18646.697266,73847.789062,0.25,0.137868,92494.484375
1,180,0.02939,189.638,30.129538,0.666667,0.145913,219.767532
1,190,0.03103,62.811768,46.825642,0.479167,0.153939,109.637405
1,200,0.03268,23.011276,27.446692,0.5,0.161944,50.45797
2,210,0.03432,5.730553,11.299224,0.395833,0.169928,17.029778
2,220,0.03596,2.362926,9.847934,0.395833,0.17789,12.210859
2,230,0.0376,4.094317,7.369845,0.4375,0.185829,11.464162
2,240,0.03924,3.347556,7.631442,0.416667,0.193743,10.978998
2,250,0.04089,2.867015,7.21941,0.541667,0.201632,10.086425
2,260,0.04253,2.271261,8.106828,0.458333,0.209496,10.378089
2,270,0.04417,2.169877,10.063663,0.5,0.217332,12.23354
2,280,0.04581,2.233657,9.407776,0.541667,0.22514,11.641433
2,290,0.04745,2.230551,9.178386,0.541667,0.232919,11.408937
2,300,0.0491,2.443761,14.342645,0.5,0.240669,16.786406
2,310,0.05074,2.664268,17.196543,0.416667,0.248388,19.860811
2,320,0.05238,2.409734,14.920742,0.5,0.256076,17.330477
2,330,0.05402,2.018652,20.332062,0.416667,0.263732,22.350714
2,340,0.05567,2.381983,18.19869,0.4375,0.271354,20.580673
2,350,0.05731,6.162844,18.200201,0.5625,0.278943,24.363045
2,360,0.05895,4.187954,26.826103,0.604167,0.286497,31.014057
2,370,0.06059,6.715351,38.038578,0.416667,0.294015,44.753929
2,380,0.06223,4.384306,39.074139,0.479167,0.301497,43.458443
2,390,0.06388,6.081347,36.929623,0.520833,0.308943,43.010971
2,400,0.06552,10.741492,53.791016,0.458333,0.31635,64.532509
3,410,0.06716,5.167043,45.673431,0.5,0.323719,50.840473
3,420,0.0688,16.419479,42.813549,0.5,0.33105,59.233028
3,430,0.07044,18.021475,44.112747,0.4375,0.33834,62.134224
3,440,0.07209,10.524823,28.891291,0.5625,0.34559,39.416115
3,450,0.07373,9.358083,53.886871,0.479167,0.352799,63.244953
3,460,0.07537,18.76602,55.701447,0.395833,0.359966,74.467468
3,470,0.07701,10.48537,58.341949,0.458333,0.367092,68.827316
3,480,0.07865,6.19382,66.656128,0.458333,0.374174,72.849945
3,490,0.0803,34.667156,38.850712,0.625,0.381213,73.517868
3,500,0.08194,19.266792,81.366325,0.5,0.388208,100.633118
3,510,0.08358,25.992895,95.335426,0.416667,0.395158,121.328323
3,520,0.08522,49.896809,134.059525,0.583333,0.402064,183.956329
3,530,0.08686,59.730198,105.158813,0.520833,0.408924,164.889008
3,540,0.08851,42.689548,73.603523,0.541667,0.415738,116.293076
3,550,0.09015,42.250835,87.631828,0.479167,0.422506,129.88266
3,560,0.09179,50.475616,97.95269,0.666667,0.429227,148.428314
3,570,0.09343,25.650423,144.089478,0.458333,0.435901,169.739899
3,580,0.09507,38.532997,192.48381,0.333333,0.442528,231.016815
3,590,0.09672,47.039581,271.83606,0.333333,0.449106,318.875641
3,600,0.09836,210.907761,305.577515,0.5,0.455636,516.485291
4,610,0.1,121.383423,296.873138,0.5625,0.462117,418.256561
4,620,0.10164,197.041183,263.303436,0.541667,0.468549,460.344604
4,630,0.10328,107.486794,249.123062,0.5625,0.474933,356.609863
4,640,0.10493,73.047279,164.948761,0.541667,0.481266,237.996033
4,650,0.10657,52.846222,272.699707,0.333333,0.48755,325.545929
4,660,0.10821,71.24543,465.165192,0.458333,0.493783,536.410645
4,670,0.10985,210.103836,390.15567,0.5625,0.499966,600.259521
4,680,0.11149,126.046532,119.533226,0.520833,0.506099,245.579758
4,690,0.11314,11.928161,18.391474,0.645833,0.512181,30.319633
4,700,0.11478,9.232017,42.48341,0.375,0.518212,51.715427
4,710,0.11642,10.320583,41.22551,0.4375,0.524191,51.546093
4,720,0.11806,4.568204,43.41843,0.604167,0.53012,47.986633
4,730,0.1197,9.784926,96.90686,0.541667,0.535997,106.691788
4,740,0.12135,38.576996,146.760529,0.5,0.541823,185.337524
4,750,0.12299,122.622215,362.372559,0.5,0.547597,484.994781
4,760,0.12463,155.000809,246.316635,0.479167,0.553319,401.317444
4,770,0.12627,135.960403,112.019905,0.520833,0.55899,247.980316
4,780,0.12791,78.808586,63.86031,0.5,0.564609,142.6689
4,790,0.12956,12.653714,22.51915,0.4375,0.570176,35.172863
4,800,0.1312,6.373781,12.04872,0.5,0.575691,18.422501
4,810,0.13284,4.682047,15.731816,0.416667,0.581154,20.413864
