epoch,step,progress,cls_loss,mmd,feat_norm,mmd_PA,mmd_PC,mmd_AC,loss
1,10,0.00148,1.513285,0.730109,17.449257,0.819833,0.743547,0.626948,1.586296
1,20,0.00312,0.847593,0.703336,41.983109,0.650332,0.769297,0.69038,0.917927
1,30,0.00476,0.700826,0.598804,46.845505,0.481857,0.59689,0.717664,0.760706
1,40,0.0064,0.672249,0.592237,48.704895,0.614199,0.46908,0.693431,0.731472
1,50,0.00805,0.577301,0.53842,42.248112,0.459551,0.71747,0.438238,0.631143
1,60,0.00969,0.468407,0.524301,43.503624,0.594278,0.546037,0.432589,0.520837
1,70,0.01133,0.230204,0.679053,50.725506,0.619557,0.877967,0.539634,0.298109
1,80,0.01297,0.162679,0.509469,54.139793,0.539355,0.541987,0.447064,0.213625
1,90,0.01461,0.260117,0.499261,44.127953,0.476272,0.537418,0.484092,0.310043
1,100,0.01626,0.189432,0.522649,47.710022,0.446459,0.667664,0.453823,0.241697
1,110,0.0179,0.256478,0.313783,50.334572,0.270199,0.36557,0.305579,0.287856
1,120,0.01954,0.149831,0.52605,50.594402,0.508195,0.619796,0.450158,0.202436
1,130,0.02118,0.170421,0.587176,52.315868,0.304617,0.691116,0.765795,0.229139
1,140,0.02282,0.229235,0.856308,42.446579,0.571821,1.221303,0.775799,0.314866
1,150,0.02447,0.308354,0.615123,52.28233,0.565945,0.460783,0.818641,0.369866
1,160,0.02611,0.370615,0.524086,50.004364,0.592127,0.655774,0.324356,0.423024
1,170,0.02775,0.197725,0.635584,53.724541,0.85798,0.517009,0.531763,0.261284
1,180,0.02939,0.437984,0.49849,46.06781,0.58885,0.461354,0.445266,0.487833
1,190,0.03103,0.092104,0.522306,52.343636,0.56577,0.488194,0.512954,0.144335
1,200,0.03268,0.080928,0.371886,41.076908,0.341481,0.394359,0.379818,0.118117
2,210,0.03432,0.253922,0.432162,59.697136,0.507436,0.324955,0.464096,0.297139
2,220,0.03596,0.327651,0.476511,54.961468,0.498632,0.518633,0.412266,0.375302
2,230,0.0376,0.216512,0.329849,48.802612,0.396393,0.298913,0.294242,0.249497
2,240,0.03924,0.117854,0.37424,54.882793,0.350724,0.320779,0.451218,0.155278
2,250,0.04089,0.17306,0.50522,48.921844,0.622496,0.44346,0.449705,0.223582
2,260,0.04253,0.230397,0.386899,55.090679,0.406502,0.316287,0.43791,0.269087
2,270,0.04417,0.172721,0.454609,51.301613,0.500536,0.453287,0.410002,0.218182
2,280,0.04581,0.335577,0.578686,53.152649,0.644331,0.78565,0.306077,0.393445
2,290,0.04745,0.210914,0.442204,60.43594,0.280384,0.443435,0.602792,0.255134
2,300,0.0491,0.033541,0.605299,66.523781,0.701101,0.491366,0.623431,0.094071
2,310,0.05074,0.009213,0.40039,64.059998,0.508261,0.395801,0.297107,0.049252
2,320,0.05238,0.087019,0.733153,56.935802,0.943851,0.828237,0.427371,0.160335
2,330,0.05402,0.246201,0.550654,58.536896,0.587311,0.696579,0.368072,0.301267
2,340,0.05567,0.240267,0.59373,48.620567,0.531141,0.392699,0.857349,0.29964
2,350,0.05731,0.259496,0.581324,47.475998,0.482374,0.574999,0.686598,0.317628
2,360,0.05895,0.120174,0.378133,66.064072,0.241797,0.479178,0.413422,0.157987
2,370,0.06059,0.048004,0.417894,70.591568,0.457866,0.478902,0.316914,0.089793
2,380,0.06223,0.345594,0.441709,56.319511,0.447095,0.482921,0.395112,0.389765
2,390,0.06388,0.079278,0.756956,55.494686,0.584008,0.920419,0.766442,0.154974
2,400,0.06552,0.096346,0.385959,50.377258,0.371391,0.419263,0.367224,0.134942
3,410,0.06716,0.05352,0.684891,48.569801,0.748215,0.841283,0.465175,0.122009
3,420,0.0688,0.218293,0.431489,54.89259,0.527545,0.486904,0.280016,0.261442
3,430,0.07044,0.173831,0.512804,58.616638,0.515846,0.678082,0.344485,0.225111
3,440,0.07209,0.010178,0.289418,66.777512,0.301543,0.298474,0.268236,0.039119
3,450,0.07373,0.155122,0.497882,57.975292,0.486674,0.489462,0.517509,0.20491
3,460,0.07537,0.045675,0.486793,60.284176,0.347347,0.647158,0.465873,0.094354
3,470,0.07701,0.097936,0.472048,56.935669,0.609688,0.436719,0.369739,0.145141
3,480,0.07865,0.122633,0.527171,52.609093,0.593926,0.331716,0.655869,0.17535
3,490,0.0803,0.10306,0.813485,60.419189,0.915084,0.822794,0.702577,0.184409
3,500,0.08194,0.021391,0.613597,70.096222,0.732692,0.48634,0.62176,0.08275
3,510,0.08358,0.455079,0.546223,67.248596,0.591833,0.495728,0.551109,0.509701
3,520,0.08522,0.253069,0.365633,64.882294,0.332662,0.380228,0.38401,0.289632
3,530,0.08686,0.420393,0.485976,53.717491,0.646945,0.229443,0.58154,0.468991
3,540,0.08851,0.102614,0.408884,54.966537,0.469548,0.379056,0.378049,0.143502
3,550,0.09015,0.021947,0.486492,62.984093,0.349468,0.547578,0.56243,0.070596
3,560,0.09179,0.08754,0.365078,61.304718,0.253303,0.347263,0.494668,0.124048
3,570,0.09343,0.244794,0.654785,64.720749,0.570727,0.801551,0.592076,0.310272
3,580,0.09507,0.058178,0.225145,53.518761,0.226222,0.202672,0.246542,0.080692
3,590,0.09672,0.012542,0.617015,57.4893,0.454777,0.850143,0.546125,0.074244
3,600,0.09836,0.128782,0.442418,68.774376,0.412153,0.62211,0.292992,0.173024
4,610,0.1,0.027144,0.231925,82.903702,0.19274,0.31136,0.191676,0.050337
4,620,0.10164,0.211282,0.504105,69.086784,0.537228,0.267719,0.707367,0.261692
4,630,0.10328,0.101839,0.529709,47.764183,0.497952,0.517043,0.574132,0.15481
4,640,0.10493,0.204383,0.530384,58.421154,0.4027,0.689303,0.499149,0.257421
4,650,0.10657,0.043229,0.367687,63.281799,0.278824,0.288576,0.535662,0.079998
4,660,0.10821,0.189034,0.561336,71.312172,0.684054,0.560092,0.43986,0.245167
4,670,0.10985,0.095416,0.304073,62.693657,0.223202,0.289577,0.399441,0.125823
4,680,0.11149,0.139989,0.576312,58.123329,0.615122,0.792396,0.321417,0.19762
4,690,0.11314,0.197421,0.406181,56.394646,0.467984,0.291781,0.458776,0.238039
4,700,0.11478,0.151846,0.797439,53.964016,0.784107,0.595283,1.012927,0.23159
4,710,0.11642,0.094076,0.480254,60.83131,0.4752,0.500359,0.465203,0.142101
4,720,0.11806,0.036721,0.394445,58.434105,0.429924,0.315641,0.437769,0.076165
4,730,0.1197,0.054853,0.339905,61.471489,0.251089,0.307803,0.460823,0.088843
4,740,0.12135,0.106773,0.455225,56.191711,0.298968,0.580479,0.486229,0.152295
4,750,0.12299,0.086895,0.495254,54.172573,0.434201,0.522861,0.528701,0.13642
4,760,0.12463,0.504581,0.545464,54.613781,0.564487,0.350077,0.721827,0.559127
4,770,0.12627,0.081254,0.681099,50.349388,0.491015,0.778986,0.773296,0.149364
4,780,0.12791,0.082633,0.378691,47.304306,0.290781,0.396821,0.448469,0.120502
4,790,0.12956,0.034552,0.28799,53.511883,0.328476,0.199139,0.336354,0.063351
4,800,0.1312,0.200492,0.347224,71.94426,0.2552,0.284235,0.502236,0.235214
4,810,0.13284,0.109773,0.343213,59.887955,0.427284,0.351389,0.250965,0.144094
5,820,0.13448,0.115781,0.325489,62.829369,0.232695,0.364387,0.379385,0.14833
5,830,0.13612,0.050107,0.480843,57.004608,0.407406,0.579221,0.455903,0.098191
5,840,0.13777,0.05493,0.377385,53.980042,0.398587,0.399022,0.334547,0.092668
5,850,0.13941,0.079626,0.340654,63.975704,0.304057,0.257452,0.460452,0.113691
5,860,0.14105,0.183801,0.485489,71.392258,0.588038,0.364221,0.504209,0.23235
5,870,0.14269,0.043164,0.454764,64.848541,0.341099,0.451497,0.571697,0.088641
5,880,0.14433,0.237423,0.494007,56.550091,0.507123,0.550248,0.424651,0.286823
5,890,0.14598,0.150033,0.553117,57.849636,0.50265,0.483885,0.672815,0.205345
5,900,0.14762,0.010731,0.72787,52.477856,0.412619,0.944424,0.826567,0.083518
5,910,0.14926,0.019612,0.328835,66.681419,0.339812,0.272146,0.374548,0.052495
5,920,0.1509,0.072888,0.363003,73.113403,0.33604,0.405717,0.347251,0.109188
5,930,0.15255,0.050424,0.494905,63.484009,0.355664,0.413166,0.715886,0.099914
5,940,0.15419,0.205468,0.506201,61.305748,0.46637,0.627371,0.424862,0.256088
5,950,0.15583,0.052162,0.686339,61.420891,0.587152,0.920302,0.551564,0.120796
5,960,0.15747,0.18792,0.729,54.675915,0.731274,0.931711,0.524015,0.26082
5,970,0.15911,0.028074,0.321325,68.57283,0.362173,0.311237,0.290564,0.060206
5,980,0.16076,0.279049,0.334867,66.007469,0.408193,0.284981,0.311428,0.312535
5,990,0.1624,0.074441,0.335917,68.933922,0.4368,0.19271,0.37824,0.108033
5,1000,0.16404,0.13766,0.496889,66.370445,0.463909,0.586072,0.440685,0.187349
5,1010,0.16568,0.284488,0.372126,56.770203,0.320129,0.378819,0.417431,0.321701
6,1020,0.16732,0.015136,0.63225,65.631821,0.714777,0.794665,0.38731,0.078361
6,1030,0.16897,0.001835,0.369875,65.23568,0.448713,0.246883,0.414029,0.038822
6,1040,0.17061,0.011696,0.368037,61.754772,0.364114,0.380002,0.359994,0.0485
6,1050,0.17225,0.162418,0.306861,62.942848,0.318592,0.302653,0.299339,0.193105
6,1060,0.17389,0.015933,0.472348,70.959511,0.579505,0.342741,0.4948,0.063168
6,1070,0.17553,0.014633,0.34621,70.068047,0.25448,0.359386,0.424763,0.049254
6,1080,0.17718,0.107265,0.445257,65.707878,0.476435,0.501422,0.357914,0.151791
6,1090,0.17882,0.084806,0.524636,66.839722,0.427758,0.462931,0.683219,0.137269
6,1100,0.18046,0.125791,0.462056,69.091476,0.581764,0.498584,0.30582,0.171997
6,1110,0.1821,0.209212,0.406988,57.850815,0.506698,0.401368,0.3129,0.249911
