epoch,step,progress,cls_loss,mmd,feat_norm,mmd_PA,mmd_PC,mmd_AC,loss
1,10,0.00148,1.825336,0.636047,27.776184,0.638968,0.733644,0.535528,8.185804
1,20,0.00312,1.704643,0.821652,28.444258,0.677061,0.750437,1.037457,9.921162
1,30,0.00476,1.57314,0.764887,29.805235,0.943527,0.731659,0.619476,9.222012
1,40,0.0064,1.51309,0.599517,36.279274,0.610281,0.385013,0.803258,7.508263
1,50,0.00805,1.58672,0.573299,24.162512,0.426939,0.816932,0.476025,7.319707
1,60,0.00969,1.520611,0.73791,37.079113,0.76685,0.955156,0.491722,8.899708
1,70,0.01133,1.706224,0.613248,31.338491,0.477316,0.58627,0.776159,7.838704
1,80,0.01297,1.490031,0.491356,64.686165,0.476622,0.506294,0.491151,6.403587
1,90,0.01461,1.786065,0.686129,62.235607,0.712327,0.445303,0.900757,8.64736
1,100,0.01626,1.333911,0.497908,35.304413,0.50973,0.580578,0.403418,6.312994
1,110,0.0179,1.477912,0.474653,37.973446,0.439877,0.483103,0.500978,6.22444
1,120,0.01954,1.41599,0.515042,29.953308,0.399327,0.640468,0.505331,6.566408
1,130,0.02118,1.295593,0.770188,30.7432,0.830246,0.505256,0.975062,8.997474
1,140,0.02282,1.338251,0.571272,62.086395,0.473004,0.533159,0.707652,7.050967
1,150,0.02447,1.515343,0.512563,50.287411,0.573153,0.435129,0.529407,6.640976
1,160,0.02611,0.927783,0.385928,76.887871,0.43419,0.489695,0.233899,4.787061
1,170,0.02775,1.135579,0.536359,85.066734,0.526019,0.556182,0.526874,6.499165
1,180,0.02939,1.370245,0.554467,120.983994,0.595624,0.351198,0.716577,6.914912
1,190,0.03103,1.197315,0.471171,94.069504,0.430925,0.409475,0.573112,5.909023
1,200,0.03268,1.055679,0.413404,48.625916,0.465043,0.413861,0.361309,5.189724
2,210,0.03432,1.804643,0.511161,115.775818,0.615545,0.39109,0.526847,6.916249
2,220,0.03596,1.488694,0.25895,57.850628,0.245167,0.216963,0.314719,4.078194
2,230,0.0376,1.481504,0.24802,56.035812,0.269144,0.210988,0.263929,3.961707
2,240,0.03924,1.388613,0.290194,122.626404,0.183855,0.315776,0.370951,4.290555
2,250,0.04089,1.30832,0.538414,115.475548,0.471014,0.673454,0.470775,6.692463
2,260,0.04253,1.528685,0.429974,55.808472,0.381485,0.380787,0.527649,5.828422
2,270,0.04417,1.457247,0.445642,54.894897,0.283743,0.519753,0.533429,5.913666
2,280,0.04581,1.489289,0.26404,81.206818,0.310344,0.332458,0.149318,4.129688
2,290,0.04745,1.60356,0.4181,65.638687,0.475,0.400544,0.378755,5.784559
2,300,0.0491,1.600355,0.407298,113.949547,0.424512,0.396768,0.400613,5.673333
2,310,0.05074,1.219859,0.54022,173.736206,0.792437,0.556454,0.271769,6.622059
2,320,0.05238,1.194535,0.344438,101.488892,0.471458,0.328521,0.233336,4.638919
2,330,0.05402,0.974336,0.504494,97.243637,0.327238,0.846838,0.339406,6.019278
2,340,0.05567,1.436283,0.263253,94.160889,0.1869,0.318342,0.284517,4.068812
2,350,0.05731,1.83884,0.73927,150.018173,0.518184,0.976258,0.723369,9.231544
2,360,0.05895,1.378114,0.371434,79.529457,0.302626,0.476942,0.334735,5.092458
2,370,0.06059,1.586604,0.538698,35.416851,0.664447,0.220792,0.730855,6.973585
2,380,0.06223,1.569711,0.386398,98.443161,0.425064,0.487553,0.246577,5.433691
2,390,0.06388,1.267573,0.454071,148.342712,0.59807,0.252349,0.511794,5.808282
2,400,0.06552,1.669923,0.488168,182.156235,0.330796,0.618013,0.515696,6.551606
3,410,0.06716,1.694577,0.627157,132.891266,0.974064,0.64827,0.259138,7.966149
3,420,0.0688,1.664297,0.453629,217.499359,0.367743,0.403886,0.589258,6.200586
