epoch,step,train_cls_loss,train_sam_loss,train_sam_gap,train_grad_norm,train_loss,val_photo_acc,val_photo_f1,val_art_painting_acc,val_art_painting_f1,val_cartoon_acc,val_cartoon_f1,val_mean_accuracy,val_mean_macro_f1,val_worst_accuracy,val_worst_macro_f1,best,epoch_time_s
1,203,1.037727,1.320123,0.282395,5.032332,1.037727,0.874251,0.853752,0.812195,0.804452,0.884861,0.886458,0.857103,0.848221,0.812195,0.804452,1,40.4
2,406,0.284535,0.547235,0.2627,4.361417,0.284535,0.937126,0.928245,0.868293,0.866132,0.925373,0.935567,0.910264,0.909981,0.868293,0.866132,1,40.8
3,609,0.186727,0.410591,0.223864,3.617504,0.186727,0.95509,0.949858,0.897561,0.894473,0.959488,0.961809,0.93738,0.93538,0.897561,0.894473,1,44.7
4,812,0.146121,0.347225,0.201104,3.091168,0.146121,0.967066,0.962425,0.919512,0.918612,0.946695,0.952656,0.944424,0.944564,0.919512,0.918612,1,43.6
5,1015,0.093993,0.257758,0.163765,2.433464,0.093993,0.95509,0.950237,0.914634,0.913117,0.942431,0.94825,0.937385,0.937201,0.914634,0.913117,0,44.6
6,1218,0.079862,0.235642,0.155779,2.172598,0.079862,0.967066,0.961667,0.912195,0.911551,0.957356,0.962511,0.945539,0.945243,0.912195,0.911551,1,43.7
7,1421,0.062688,0.211312,0.148624,1.986092,0.062688,0.952096,0.94523,0.912195,0.908782,0.950959,0.951264,0.938417,0.935092,0.912195,0.908782,0,43.7
8,1624,0.049635,0.191363,0.141728,1.724063,0.049635,0.982036,0.979327,0.929268,0.926915,0.957356,0.96064,0.95622,0.955627,0.929268,0.926915,1,42.8
9,1827,0.043848,0.166856,0.123008,1.503654,0.043848,0.958084,0.954217,0.9,0.898299,0.948827,0.955156,0.935637,0.93589,0.9,0.898299,0,44.7
10,2030,0.030209,0.145599,0.11539,1.190863,0.030209,0.97006,0.965204,0.890244,0.891968,0.950959,0.956891,0.937088,0.938021,0.890244,0.891968,0,42.7
11,2233,0.028456,0.143632,0.115176,1.13607,0.028456,0.964072,0.95855,0.92439,0.925543,0.955224,0.9606,0.947895,0.948231,0.92439,0.925543,0,43.5
12,2436,0.025138,0.136856,0.111717,1.104405,0.025138,0.958084,0.952444,0.907317,0.904171,0.948827,0.952193,0.938076,0.936269,0.907317,0.904171,0,43.5
13,2639,0.030204,0.136184,0.10598,1.06113,0.030204,0.943114,0.933459,0.904878,0.895383,0.948827,0.953214,0.932273,0.927352,0.904878,0.895383,0,43.5
