epoch,step,progress,cls_loss,sam_loss,sam_gap,grad_norm,loss
1,10,0.00148,1.962189,2.052601,0.090412,1.906757,1.962189
1,20,0.00312,1.880628,1.950881,0.070253,1.602329,1.880628
1,30,0.00476,1.826781,1.904917,0.078136,1.84967,1.826781
1,40,0.0064,1.808403,1.89322,0.084817,1.997766,1.808403
1,50,0.00805,1.534912,1.730083,0.195172,3.801584,1.534912
1,60,0.00969,1.435891,1.673504,0.237614,4.468235,1.435891
1,70,0.01133,1.364759,1.53117,0.166411,3.920218,1.364759
1,80,0.01297,1.002712,1.249206,0.246494,5.108248,1.002712
1,90,0.01461,0.874386,1.252611,0.378226,7.458515,0.874386
1,100,0.01626,0.515484,0.788948,0.273463,4.56916,0.515484
1,110,0.0179,0.856919,1.219247,0.362328,7.09235,0.856919
1,120,0.01954,0.644036,0.917346,0.27331,5.005493,0.644036
1,130,0.02118,0.737346,1.169606,0.43226,7.777993,0.737346
1,140,0.02282,0.622337,0.938936,0.316599,5.788526,0.622337
1,150,0.02447,0.73384,1.075421,0.341582,6.534127,0.73384
1,160,0.02611,0.579201,1.138555,0.559355,9.617265,0.579201
1,170,0.02775,0.520409,0.812607,0.292198,5.091628,0.520409
1,180,0.02939,0.438792,0.806226,0.367434,6.315269,0.438792
1,190,0.03103,0.172371,0.353491,0.18112,3.211666,0.172371
1,200,0.03268,0.221489,0.490181,0.268692,4.200825,0.221489
2,210,0.03432,0.195355,0.413988,0.218633,3.519153,0.195355
2,220,0.03596,0.559333,0.972944,0.413611,7.783005,0.559333
2,230,0.0376,0.362354,0.672476,0.310121,4.91398,0.362354
2,240,0.03924,0.335701,0.629696,0.293995,5.531218,0.335701
2,250,0.04089,0.495968,0.742589,0.246621,4.28197,0.495968
2,260,0.04253,0.357459,0.595293,0.237834,4.070929,0.357459
2,270,0.04417,0.34587,0.669566,0.323696,5.224674,0.34587
2,280,0.04581,0.291208,0.548262,0.257054,4.542066,0.291208
2,290,0.04745,0.270749,0.517221,0.246472,4.134258,0.270749
2,300,0.0491,0.196994,0.427445,0.230451,4.009161,0.196994
2,310,0.05074,0.083802,0.281695,0.197893,2.410702,0.083802
2,320,0.05238,0.142494,0.353681,0.211186,3.465499,0.142494
2,330,0.05402,0.204573,0.494537,0.289964,4.027564,0.204573
2,340,0.05567,0.262383,0.592295,0.329912,4.964516,0.262383
2,350,0.05731,0.338152,0.596119,0.257967,4.904494,0.338152
2,360,0.05895,0.137757,0.400273,0.262516,4.059796,0.137757
2,370,0.06059,0.151835,0.408442,0.256607,4.152808,0.151835
2,380,0.06223,0.349746,0.746832,0.397086,5.718944,0.349746
2,390,0.06388,0.276606,0.482907,0.206301,4.866678,0.276606
2,400,0.06552,0.102399,0.226151,0.123751,2.042412,0.102399
3,410,0.06716,0.135229,0.331977,0.196748,3.202194,0.135229
3,420,0.0688,0.210404,0.419235,0.208831,3.592951,0.210404
3,430,0.07044,0.273254,0.542346,0.269093,4.500144,0.273254
3,440,0.07209,0.053435,0.148685,0.095251,1.317114,0.053435
3,450,0.07373,0.152446,0.361478,0.209032,2.697742,0.152446
3,460,0.07537,0.175265,0.409134,0.233869,3.709501,0.175265
3,470,0.07701,0.178532,0.36151,0.182978,3.092039,0.178532
3,480,0.07865,0.178671,0.413838,0.235166,3.959113,0.178671
3,490,0.0803,0.114923,0.232333,0.11741,1.976181,0.114923
3,500,0.08194,0.167149,0.383891,0.216742,3.742805,0.167149
3,510,0.08358,0.314872,0.622271,0.3074,5.602256,0.314872
3,520,0.08522,0.200831,0.550953,0.350123,4.673903,0.200831
3,530,0.08686,0.235372,0.529587,0.294215,4.757166,0.235372
3,540,0.08851,0.095856,0.263143,0.167287,2.299325,0.095856
3,550,0.09015,0.128,0.295118,0.167118,2.601198,0.128
3,560,0.09179,0.145832,0.284104,0.138273,3.009492,0.145832
3,570,0.09343,0.229969,0.643195,0.413225,4.836698,0.229969
3,580,0.09507,0.116261,0.241554,0.125292,2.271084,0.116261
3,590,0.09672,0.055204,0.168159,0.112955,1.526092,0.055204
3,600,0.09836,0.225586,0.497024,0.271437,4.112757,0.225586
4,610,0.1,0.221172,0.599172,0.378,6.266519,0.221172
4,620,0.10164,0.137181,0.466085,0.328905,4.257149,0.137181
4,630,0.10328,0.34938,0.616153,0.266773,4.061169,0.34938
4,640,0.10493,0.236967,0.477892,0.240925,3.322146,0.236967
4,650,0.10657,0.215511,0.47702,0.261509,5.315934,0.215511
4,660,0.10821,0.239314,0.373909,0.134595,2.683225,0.239314
4,670,0.10985,0.036576,0.121917,0.085341,1.176533,0.036576
4,680,0.11149,0.128519,0.286906,0.158387,3.171942,0.128519
4,690,0.11314,0.115911,0.323686,0.207776,3.174648,0.115911
4,700,0.11478,0.023103,0.136574,0.11347,0.911033,0.023103
4,710,0.11642,0.187601,0.357494,0.169894,2.793833,0.187601
4,720,0.11806,0.071923,0.175798,0.103876,1.400102,0.071923
4,730,0.1197,0.021643,0.098071,0.076428,0.760728,0.021643
4,740,0.12135,0.135171,0.492139,0.356968,4.576354,0.135171
4,750,0.12299,0.080377,0.257505,0.177127,2.868533,0.080377
4,760,0.12463,0.355115,0.66801,0.312895,5.410275,0.355115
4,770,0.12627,0.115277,0.312208,0.196931,2.667202,0.115277
4,780,0.12791,0.137667,0.408182,0.270516,3.879034,0.137667
4,790,0.12956,0.186528,0.515033,0.328505,4.033162,0.186528
4,800,0.1312,0.2614,0.578454,0.317054,6.598413,0.2614
4,810,0.13284,0.076216,0.25426,0.178044,2.244862,0.076216
5,820,0.13448,0.06457,0.244665,0.180095,1.590351,0.06457
