epoch,step,train_cls_loss,train_mmd,train_mmd_PA,train_mmd_PC,train_mmd_AC,train_loss,val_photo_acc,val_photo_f1,val_art_painting_acc,val_art_painting_f1,val_cartoon_acc,val_cartoon_f1,val_mean_accuracy,val_mean_macro_f1,val_worst_accuracy,val_worst_macro_f1,best,epoch_time_s
1,203,0.541832,0.583702,0.583573,0.597708,0.569825,0.600202,0.928144,0.914435,0.826829,0.830463,0.884861,0.892998,0.879945,0.879299,0.826829,0.830463,1,31.0
2,406,0.217662,0.520933,0.511628,0.532277,0.518895,0.269755,0.967066,0.961351,0.890244,0.887898,0.918977,0.926243,0.925429,0.925164,0.890244,0.887898,1,29.6
3,609,0.14206,0.500731,0.494238,0.506426,0.501528,0.192133,0.95509,0.946923,0.863415,0.853566,0.901919,0.901973,0.906808,0.900821,0.863415,0.853566,0,33.7
4,812,0.108169,0.491486,0.48362,0.498262,0.492577,0.157317,0.973054,0.968742,0.904878,0.901204,0.942431,0.944886,0.940121,0.938277,0.904878,0.901204,1,32.9
5,1015,0.08179,0.499287,0.485764,0.504836,0.50726,0.131719,0.964072,0.961489,0.895122,0.89738,0.933902,0.936702,0.931032,0.931857,0.895122,0.89738,0,34.8
6,1218,0.073272,0.492768,0.495518,0.487406,0.49538,0.122549,0.97006,0.963366,0.892683,0.892339,0.946695,0.951561,0.936479,0.935756,0.892683,0.892339,0,33.5
7,1421,0.047944,0.486942,0.478702,0.490477,0.491649,0.096638,0.976048,0.972104,0.907317,0.910196,0.957356,0.960312,0.946907,0.947537,0.907317,0.910196,1,32.9
8,1624,0.032169,0.476924,0.463172,0.484113,0.483489,0.079861,0.973054,0.968956,0.936585,0.936836,0.955224,0.95978,0.954954,0.955191,0.936585,0.936836,1,33.8
9,1827,0.022169,0.47803,0.463357,0.495418,0.475316,0.069972,0.97006,0.964566,0.897561,0.895648,0.946695,0.952168,0.938105,0.93746,0.897561,0.895648,0,35.9
10,2030,0.024447,0.481655,0.478699,0.479281,0.486986,0.072613,0.982036,0.979667,0.934146,0.937257,0.944563,0.949064,0.953582,0.955329,0.934146,0.937257,1,32.7
11,2233,0.028964,0.463129,0.457135,0.486161,0.44609,0.075277,0.976048,0.972062,0.892683,0.890948,0.940299,0.945352,0.936343,0.936121,0.892683,0.890948,0,33.7
12,2436,0.036824,0.473475,0.465726,0.473462,0.481237,0.084171,0.949102,0.940428,0.9,0.902759,0.940299,0.947,0.9298,0.930062,0.9,0.902759,0,32.6
13,2639,0.064348,0.481321,0.474498,0.493929,0.475536,0.11248,0.982036,0.978177,0.912195,0.903736,0.936034,0.943277,0.943422,0.94173,0.912195,0.903736,0,33.7
14,2842,0.025438,0.492883,0.473706,0.514925,0.490017,0.074726,0.979042,0.975816,0.897561,0.893915,0.946695,0.950826,0.941099,0.940186,0.897561,0.893915,0,32.4
15,3045,0.056251,0.483175,0.464816,0.496415,0.488294,0.104568,0.95509,0.948351,0.914634,0.912017,0.93177,0.935563,0.933831,0.931977,0.914634,0.912017,0,32.7
