epoch,step,progress,cls_loss,mmd,mmd_PA,mmd_PC,mmd_AC,loss
1,10,0.00148,1.571186,0.74075,0.743646,0.830387,0.648217,1.645261
1,20,0.00312,0.934276,0.677795,0.635173,0.72978,0.668433,1.002056
1,30,0.00476,0.796536,0.65627,0.62075,0.654958,0.6931,0.862163
1,40,0.0064,0.656438,0.641906,0.731792,0.513215,0.680711,0.720629
1,50,0.00805,0.687686,0.534899,0.434803,0.719917,0.449978,0.741176
1,60,0.00969,0.548983,0.586593,0.731227,0.459789,0.568763,0.607642
1,70,0.01133,0.265014,0.636611,0.55597,0.821446,0.532417,0.328675
1,80,0.01297,0.228322,0.503261,0.564643,0.511405,0.433734,0.278648
1,90,0.01461,0.302222,0.528261,0.557378,0.474809,0.552596,0.355048
1,100,0.01626,0.289423,0.578981,0.527838,0.673401,0.535703,0.347321
1,110,0.0179,0.365549,0.429978,0.423969,0.536402,0.329563,0.408547
1,120,0.01954,0.179781,0.638204,0.585662,0.756216,0.572734,0.243602
1,130,0.02118,0.235364,0.577872,0.318882,0.696526,0.718207,0.293151
1,140,0.02282,0.237305,0.776548,0.557253,1.044745,0.727645,0.31496
1,150,0.02447,0.269462,0.629809,0.681301,0.475428,0.732697,0.332442
1,160,0.02611,0.285921,0.493305,0.54991,0.627422,0.302583,0.335252
1,170,0.02775,0.23694,0.576906,0.814743,0.440624,0.475349,0.294631
1,180,0.02939,0.278835,0.53412,0.671303,0.49851,0.432546,0.332247
1,190,0.03103,0.098862,0.557546,0.584276,0.500725,0.587637,0.154616
1,200,0.03268,0.08269,0.367943,0.337064,0.365482,0.401282,0.119484
2,210,0.03432,0.178808,0.433443,0.501719,0.330503,0.468108,0.222152
2,220,0.03596,0.230335,0.553827,0.519665,0.635186,0.506629,0.285718
2,230,0.0376,0.242981,0.374647,0.47401,0.315329,0.334603,0.280446
2,240,0.03924,0.162553,0.402366,0.404977,0.343562,0.458559,0.20279
2,250,0.04089,0.311106,0.550185,0.676802,0.503647,0.470104,0.366125
2,260,0.04253,0.210513,0.49025,0.457606,0.473019,0.540126,0.259538
2,270,0.04417,0.36311,0.502609,0.524361,0.532186,0.451279,0.413371
2,280,0.04581,0.214554,0.53481,0.561057,0.652753,0.390621,0.268035
2,290,0.04745,0.22445,0.46587,0.328217,0.479572,0.589821,0.271037
2,300,0.0491,0.107484,0.563422,0.599968,0.538892,0.551407,0.163826
2,310,0.05074,0.015477,0.437467,0.478535,0.439213,0.394653,0.059224
2,320,0.05238,0.149472,0.77127,1.012381,0.766424,0.535005,0.226599
2,330,0.05402,0.238915,0.566959,0.51546,0.719187,0.46623,0.29561
2,340,0.05567,0.275369,0.522408,0.508771,0.381007,0.677447,0.32761
2,350,0.05731,0.272623,0.59302,0.615005,0.573741,0.590315,0.331925
2,360,0.05895,0.368972,0.416311,0.232432,0.536935,0.479566,0.410603
2,370,0.06059,0.071456,0.478909,0.557454,0.465558,0.413715,0.119346
2,380,0.06223,0.155013,0.44165,0.493049,0.425635,0.406266,0.199178
2,390,0.06388,0.088732,0.688492,0.550156,0.870837,0.644481,0.157581
2,400,0.06552,0.057476,0.400842,0.423074,0.425036,0.354417,0.097561
3,410,0.06716,0.070976,0.661549,0.742923,0.797606,0.444118,0.137131
3,420,0.0688,0.300336,0.414621,0.460524,0.448984,0.334354,0.341798
3,430,0.07044,0.139091,0.553471,0.618139,0.600902,0.441371,0.194438
3,440,0.07209,0.037885,0.405446,0.470428,0.340919,0.404991,0.07843
3,450,0.07373,0.099162,0.50546,0.511856,0.480077,0.524449,0.149708
3,460,0.07537,0.095219,0.443723,0.328842,0.581154,0.421173,0.139592
3,470,0.07701,0.066098,0.45625,0.536656,0.417437,0.414656,0.111723
3,480,0.07865,0.168862,0.552953,0.682881,0.389727,0.586252,0.224157
3,490,0.0803,0.044182,0.737576,0.863964,0.727324,0.621441,0.11794
3,500,0.08194,0.068595,0.56571,0.627061,0.448825,0.621243,0.125166
3,510,0.08358,0.363737,0.542461,0.62061,0.544102,0.462672,0.417983
3,520,0.08522,0.134996,0.354872,0.365446,0.364527,0.334644,0.170483
3,530,0.08686,0.12782,0.469407,0.600542,0.249947,0.557731,0.174761
3,540,0.08851,0.063578,0.400882,0.461836,0.342377,0.398435,0.103666
3,550,0.09015,0.10329,0.468359,0.333792,0.534364,0.536921,0.150126
3,560,0.09179,0.082632,0.37548,0.33621,0.421659,0.368571,0.12018
3,570,0.09343,0.144898,0.648504,0.634406,0.77164,0.539466,0.209748
3,580,0.09507,0.063666,0.259756,0.249982,0.268618,0.26067,0.089642
3,590,0.09672,0.025394,0.640844,0.494556,0.818919,0.609058,0.089479
3,600,0.09836,0.120992,0.494696,0.493025,0.601707,0.389355,0.170461
4,610,0.1,0.053755,0.25434,0.258972,0.277622,0.226424,0.079188
4,620,0.10164,0.2193,0.503356,0.524276,0.34222,0.643572,0.269636
4,630,0.10328,0.176607,0.438735,0.416093,0.435494,0.464618,0.220481
4,640,0.10493,0.23243,0.518342,0.513516,0.538452,0.503059,0.284264
4,650,0.10657,0.029722,0.386086,0.320986,0.367576,0.469696,0.06833
4,660,0.10821,0.091667,0.50635,0.531606,0.592431,0.395012,0.142302
4,670,0.10985,0.005326,0.407593,0.369687,0.364239,0.488853,0.046085
4,680,0.11149,0.09477,0.532651,0.470611,0.72792,0.399422,0.148035
4,690,0.11314,0.098349,0.480888,0.523043,0.440995,0.478625,0.146438
4,700,0.11478,0.02318,0.744948,0.742581,0.52778,0.964481,0.097675
4,710,0.11642,0.05885,0.488336,0.443678,0.58275,0.43858,0.107684
4,720,0.11806,0.017078,0.447276,0.474569,0.43164,0.435617,0.061806
4,730,0.1197,0.002972,0.398884,0.277443,0.364448,0.55476,0.042861
4,740,0.12135,0.227475,0.48283,0.335884,0.635842,0.476764,0.275758
4,750,0.12299,0.045594,0.52186,0.555604,0.467853,0.542124,0.09778
4,760,0.12463,0.241349,0.493369,0.581341,0.340236,0.558529,0.290686
4,770,0.12627,0.033777,0.625668,0.520435,0.700278,0.656291,0.096344
4,780,0.12791,0.024961,0.356839,0.301275,0.359905,0.409336,0.060645
4,790,0.12956,0.225452,0.369184,0.451842,0.264537,0.391174,0.262371
4,800,0.1312,0.024044,0.384796,0.340155,0.339236,0.474996,0.062524
4,810,0.13284,0.094182,0.373768,0.43756,0.348413,0.33533,0.131558
5,820,0.13448,0.028131,0.377826,0.305554,0.425703,0.40222,0.065914
5,830,0.13612,0.10171,0.454843,0.409848,0.510799,0.443882,0.147194
5,840,0.13777,0.25117,0.44,0.44938,0.459477,0.411144,0.29517
5,850,0.13941,0.02791,0.392019,0.401081,0.286653,0.488322,0.067112
5,860,0.14105,0.059212,0.557386,0.697462,0.414655,0.560041,0.114951
5,870,0.14269,0.188972,0.472313,0.462281,0.456688,0.497968,0.236203
5,880,0.14433,0.154856,0.56279,0.613518,0.647604,0.427248,0.211135
5,890,0.14598,0.03066,0.64424,0.550873,0.633469,0.748377,0.095084
5,900,0.14762,0.093517,0.760551,0.47633,0.907301,0.898022,0.169572
5,910,0.14926,0.045369,0.356622,0.349214,0.293653,0.426999,0.081031
5,920,0.1509,0.048552,0.451253,0.464747,0.396775,0.492238,0.093677
5,930,0.15255,0.101952,0.530074,0.357283,0.519981,0.712959,0.154959
5,940,0.15419,0.034538,0.510415,0.461395,0.596393,0.473458,0.085579
5,950,0.15583,0.077362,0.561088,0.509772,0.786363,0.387129,0.13347
5,960,0.15747,0.347214,0.725113,0.638952,0.933147,0.603239,0.419725
5,970,0.15911,0.05069,0.433596,0.519939,0.420766,0.360083,0.09405
5,980,0.16076,0.09108,0.387074,0.3652,0.434094,0.361927,0.129787
5,990,0.1624,0.071833,0.366656,0.499061,0.208573,0.392334,0.108498
5,1000,0.16404,0.019963,0.58167,0.568817,0.659377,0.516815,0.07813
5,1010,0.16568,0.080462,0.407995,0.35798,0.375108,0.490897,0.121262
