group,unknown_class,predicted,score,threshold,hf_test_index
far,bottle,cat,-11.9407,-5.9793,3888
near,pickup_truck,automobile,-11.2534,-5.9793,7658
near,bus,truck,-11.1985,-5.9793,5201
near,bus,truck,-10.9515,-5.9793,7133
near,tractor,truck,-10.9308,-5.9793,4404
near,bus,truck,-10.9061,-5.9793,193
near,bus,truck,-10.8278,-5.9793,5163
near,tractor,truck,-10.7726,-5.9793,5445
near,camel,horse,-10.7293,-5.9793,9110
near,fox,cat,-10.7238,-5.9793,8715
near,bus,truck,-10.7084,-5.9793,4185
far,bowl,cat,-10.699,-5.9793,318
far,sunflower,bird,-10.6644,-5.9793,8475
near,wolf,dog,-10.6551,-5.9793,720
far,bowl,cat,-10.6492,-5.9793,2656
near,tractor,truck,-10.6365,-5.9793,5550
far,sunflower,bird,-10.6226,-5.9793,5260
near,tractor,truck,-10.6049,-5.9793,5025
far,wardrobe,truck,-10.5696,-5.9793,3853
far,bottle,ship,-10.553,-5.9793,170
far,bowl,ship,-10.5134,-5.9793,588
near,pickup_truck,automobile,-10.513,-5.9793,353
near,bus,truck,-10.492,-5.9793,957
near,wolf,dog,-10.4842,-5.9793,5078
near,pickup_truck,automobile,-10.4823,-5.9793,9388
near,bus,truck,-10.4744,-5.9793,5184
near,bus,truck,-10.4696,-5.9793,5853
near,bus,truck,-10.4612,-5.9793,1445
near,camel,deer,-10.3728,-5.9793,6418
near,bus,truck,-10.3576,-5.9793,6339
near,pickup_truck,automobile,-10.3244,-5.9793,4870
near,motorcycle,automobile,-10.2943,-5.9793,5572
near,leopard,frog,-10.2663,-5.9793,5698
near,camel,horse,-10.2647,-5.9793,7298
near,wolf,dog,-10.2367,-5.9793,3538
near,bus,truck,-10.2353,-5.9793,5920
near,tractor,ship,-10.2319,-5.9793,8996
near,pickup_truck,automobile,-10.2127,-5.9793,7559
near,pickup_truck,automobile,-10.2104,-5.9793,9081
near,leopard,dog,-10.1727,-5.9793,1328
near,bus,truck,-10.1658,-5.9793,8655
near,camel,deer,-10.1642,-5.9793,1572
near,wolf,cat,-10.1464,-5.9793,9587
near,bus,truck,-10.1377,-5.9793,4307
near,camel,bird,-10.1224,-5.9793,4736
near,camel,bird,-10.0934,-5.9793,6417
far,chair,cat,-10.0814,-5.9793,7982
near,camel,dog,-10.0566,-5.9793,5113
far,wardrobe,cat,-10.0559,-5.9793,5666
far,keyboard,truck,-10.0501,-5.9793,3247
near,pickup_truck,automobile,-10.0442,-5.9793,4506
near,pickup_truck,automobile,-10.038,-5.9793,8455
near,wolf,cat,-10.0369,-5.9793,8407
near,motorcycle,truck,-10.0204,-5.9793,5175
near,fox,cat,-10.0195,-5.9793,1498
far,wardrobe,truck,-10.0178,-5.9793,2915
near,bus,truck,-10.0027,-5.9793,4173
far,clock,truck,-9.9973,-5.9793,4704
near,wolf,cat,-9.9917,-5.9793,1345
near,camel,deer,-9.9518,-5.9793,811
far,bowl,truck,-9.9497,-5.9793,77
near,camel,dog,-9.9437,-5.9793,6616
