epoch,lr,train_loss,train_l_known,train_l_classifier_ph,train_l_data_ph,train_mix_to_dummy,train_known_dummy_2nd,train_acc,val_acc,val_loss,seconds,best
1,0.001,0.5919368267059326,0.08013030141592026,0.20446325838565826,3.0734362602233887,0.07017777860164642,0.9660000205039978,0.999155580997467,0.9548,0.18010466613769532,24.5,1
2,0.0009990133642141358,0.3362062871456146,0.104742631316185,0.022291557863354683,2.0917201042175293,0.11813333630561829,0.9996889233589172,0.9988889098167419,0.9574,0.17809019470214843,13.6,1
3,0.000996057350657239,0.30901286005973816,0.10125783830881119,0.016785046085715294,1.9097003936767578,0.15737777948379517,0.9995555877685547,0.9989333152770996,0.9562,0.18374720764160157,13.7,0
4,0.0009911436253643444,0.2857125699520111,0.10169681906700134,0.016000671312212944,1.6801514625549316,0.227911114692688,0.9999555945396423,0.9990666508674622,0.9544,0.1833511993408203,14.2,0
5,0.0009842915805643156,0.22459962964057922,0.09298701584339142,0.018124081194400787,1.1348851919174194,0.4317777752876282,0.9995111227035522,0.9985777735710144,0.9528,0.1862549621582031,14.6,0
6,0.0009755282581475769,0.13648448884487152,0.06628366559743881,0.023018628358840942,0.47182178497314453,0.7876444458961487,0.9991111159324646,0.9985777735710144,0.9518,0.19593265380859376,14.5,0
7,0.0009648882429441258,0.08520522713661194,0.0449070930480957,0.02269911766052246,0.17599031329154968,0.9688000082969666,0.9984444379806519,0.9977333545684814,0.953,0.202984033203125,14.9,0
8,0.0009524135262330099,0.060291167348623276,0.03171636909246445,0.01817660965025425,0.10398200154304504,0.9912444353103638,0.9991999864578247,0.9987555742263794,0.955,0.20437061767578124,14.6,0
9,0.0009381533400219318,0.05341716110706329,0.029008610174059868,0.016866512596607208,0.07542046904563904,0.9957777857780457,0.9986667037010193,0.997866690158844,0.9518,0.22689530944824218,14.3,0
10,0.0009221639627510075,0.0435219369828701,0.02289392426609993,0.014929949305951595,0.056980665773153305,0.9972444772720337,0.9988444447517395,0.9990222454071045,0.951,0.23088970642089843,14.7,0
11,0.0009045084971874736,0.040231917053461075,0.021688133478164673,0.013962605968117714,0.04581160470843315,0.9985777735710144,0.9989333152770996,0.9986222386360168,0.9532,0.23862164916992187,14.4,0
12,0.0008852566213878945,0.037567079067230225,0.020580338314175606,0.013004562817513943,0.03982170298695564,0.9990666508674622,0.9985777735710144,0.9982666969299316,0.953,0.22962362670898437,14.6,0
13,0.0008644843137107056,0.035389069467782974,0.01980460062623024,0.011993872001767159,0.03590613976120949,0.9990222454071045,0.9990666508674622,0.9985333681106567,0.952,0.24057777099609376,14.7,0
14,0.0008422735529643443,0.029009690508246422,0.015311527997255325,0.010545691475272179,0.03152480348944664,0.9994666576385498,0.9992889165878296,0.9993777871131897,0.9544,0.237406005859375,14.7,0
15,0.0008187119948743448,0.029540864750742912,0.016138916835188866,0.010542457923293114,0.028594929724931717,0.9994666576385498,0.9988889098167419,0.9988000392913818,0.9514,0.2374647216796875,14.4,0
16,0.0007938926261462366,0.029909785836935043,0.016646036878228188,0.010558881796896458,0.02704853191971779,0.9992889165878296,0.9984000325202942,0.998711109161377,0.9526,0.24704010009765626,14.6,0
17,0.0007679133974894982,0.027461957186460495,0.015191271901130676,0.00982703547924757,0.024436471983790398,0.9996889233589172,0.998977780342102,0.9986667037010193,0.9542,0.25476231079101563,14.4,0
18,0.0007408768370508576,0.025442373007535934,0.013993865810334682,0.009111898019909859,0.023366084322333336,0.9996889233589172,0.9993777871131897,0.9990222454071045,0.9542,0.237977294921875,14.6,0
19,0.0007128896457825362,0.027102407068014145,0.015369401313364506,0.00968435499817133,0.020486267283558846,0.9998666644096375,0.9985333681106567,0.9986222386360168,0.9558,0.24214273376464843,14.8,0
20,0.0006840622763423389,0.024255286902189255,0.013332421891391277,0.008802789263427258,0.02120072767138481,0.9996444582939148,0.9989333152770996,0.9985777735710144,0.9542,0.24490698547363282,14.6,0
21,0.0006545084971874735,0.021428173407912254,0.011799439787864685,0.007780414540320635,0.018483266234397888,0.9999111294746399,0.9994222521781921,0.9994222521781921,0.9546,0.23943755493164062,14.6,0
22,0.0006243449435824271,0.02143709920346737,0.011621406301856041,0.00805842224508524,0.017572712153196335,0.9998666644096375,0.999155580997467,0.9991111159324646,0.9536,0.24845211181640625,14.3,0
23,0.0005936906572928622,0.018944527953863144,0.010046162642538548,0.007208019960671663,0.016903376206755638,0.9996889233589172,0.9995111227035522,0.9994222521781921,0.955,0.25032085571289064,14.4,0
24,0.000562666616782152,0.017844630405306816,0.009469346143305302,0.006755119655281305,0.016201557591557503,0.9997333288192749,0.9995555877685547,0.9995111227035522,0.9544,0.24514503784179686,14.4,0
25,0.0005313952597646566,0.016587816178798676,0.008828794583678246,0.006239301059395075,0.015197199769318104,0.9999111294746399,0.9997333288192749,0.9995555877685547,0.954,0.2526413818359375,14.5,0
26,0.0004999999999999998,0.01606038399040699,0.008315260522067547,0.006281278561800718,0.01463850773870945,0.9998666644096375,0.9994222521781921,0.9995111227035522,0.9536,0.25755059509277345,14.4,0
27,0.00046860474023534314,0.015685362741351128,0.00844923872500658,0.0058588008396327496,0.013773297891020775,1.0,0.9997333288192749,0.9995111227035522,0.9558,0.24863291931152343,14.5,0
28,0.00043733338321784774,0.016351060941815376,0.008626599796116352,0.006313056219369173,0.014113974757492542,0.9999111294746399,0.9994666576385498,0.9993333220481873,0.9572,0.24502837829589844,14.5,0
29,0.00040630934270713756,0.01473872922360897,0.007767518050968647,0.005649097263813019,0.013221072033047676,0.9999555945396423,0.9997333288192749,0.9995555877685547,0.9558,0.25199053039550784,14.5,0
30,0.00037565505641757246,0.015765493735671043,0.008460680954158306,0.006034701131284237,0.012701090425252914,0.9999555945396423,0.9994666576385498,0.9994222521781921,0.9552,0.25220712890625,14.7,0
